Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.803773760000008e7
new_england_naturalgas,5.244023757145799e8
new_england_uranium,2.3225722553567263e8
middle_atlantic_naturalgas,1.4809370145437949e9
middle_atlantic_uranium,6.719794948799996e8
middle_atlantic_coal,0.0
east_north_central_coal,2.160926833667721e9
east_north_central_naturalgas,1.0799627129262645e9
east_north_central_uranium,2.0803864003199975e9
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
