Fuel,AnnualSum
No_fuel,0.0
new_england_coal,3.624611814720005e7
new_england_naturalgas,3.493024636760758e8
new_england_uranium,4.037764570412733e7
middle_atlantic_naturalgas,1.126363432878849e9
middle_atlantic_uranium,5.043766950279189e8
middle_atlantic_coal,0.0
east_north_central_coal,2.1399335552094486e9
east_north_central_naturalgas,1.0495500910235333e9
east_north_central_uranium,5.484284608010684e8
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
