Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
9000,1,1.0,1.0,9000,24,24,576.0,1,10987.815708894423,997.7442896221626,755.398809830424,1496.621507507128,170.71583617625768,924.849283852714,1646.816698747203,6289.660214402347,1956.8420984000563,14026.28614378405,56216.067023308286
,2,0.067,0.075,603,,,312.0,2,10161.013757895595,932.1032179364939,705.9141284377893,1398.6644992559866,159.6041545316492,863.2599756485486,1539.72309747898,5874.857526963425,1829.4856395165816,13526.945475527236,54737.51681516428
,,,,,,,456.0,3,9665.133755654204,887.669261718503,672.5877103570352,1332.0133390026328,152.53308439417106,822.8735440392597,1465.9699569829395,5597.31314972327,1742.5598025008767,13281.851583368596,54230.9299321564
,,,,,,,192.0,4,9437.813511219001,862.4226956855534,653.3997726741769,1293.638428553732,147.48232001025812,799.6513458639187,1424.5469602659853,5435.8327847835435,1694.043056259553,13381.51631959908,54663.136995040106
,,,,,,,216.0,5,9386.515579952651,851.3142066310558,644.310749561244,1276.470705458171,145.46201425669292,788.5450771713643,1406.3612543902493,5361.14811599892,1672.8169797789737,13747.63167718045,56080.37410821689
,,,,,,,168.0,6,9596.736513965736,858.3832451202816,649.3602068462068,1287.5792321670635,147.48232001025812,794.6030419127576,1418.4850583074067,5404.545964076471,1687.9784629793876,14496.134186013474,58757.0424999827
,,,,,,,192.0,7,10152.967023579304,888.6791243598209,672.5877103570352,1332.0133390026328,152.53308439417106,822.8735440392597,1469.000907962229,5585.202122352791,1749.6351613277363,15564.987632730197,62510.20801814025
,,,,,,,408.0,8,10902.319156783838,945.2314322736277,715.0031515507222,1416.8420884159923,161.62446028521435,874.366244341103,1562.960388320198,5939.449672939316,1862.8409025574917,16267.725721865549,65567.82170486634
,,,,,,,384.0,9,11528.958591664947,995.7245643395266,754.3889183734315,1493.5919093137936,170.71583617625768,921.8203014820174,1646.816698747203,6264.428907380515,1960.8851605868333,16785.37215800143,67349.92198973332
,,,,,,,552.0,10,12305.468453186963,1037.1289326335636,785.6955535402003,1556.2036053093684,177.7869063137358,961.197072301074,1714.5079372846646,6536.9270232163035,2038.7141076822902,17309.12051676367,69102.87342617328
,,,,,,,360.0,11,13167.474866819563,1096.7108284713245,830.1307776478724,1645.071818980507,187.8884350815617,1015.7187549736138,1811.4983686219232,6905.304105735055,2155.9629110988226,17788.12144293263,71021.67175883603
,,,,,,,384.0,12,13744.828054013393,1146.1940978959053,867.4967615565965,1718.7920416849743,195.9696580958224,1062.163151324296,1893.3340450627352,7218.172312805775,2251.9856380347755,17983.382966976027,71928.30145818743
,,,,,,,504.0,13,14009.364444661436,1171.4406639288547,886.6846992394549,1757.166952133875,201.02042247973537,1085.3853494996372,1934.7570417796894,7379.652677745501,2301.513149822794,18064.74193532744,72116.26127390661
,,,,,,,1008.0,14,13984.21839992303,1181.5392903420345,894.7638308953952,1772.3149431005463,202.03057535651797,1094.4722966117272,1950.9221136692324,7443.2355714405185,2319.70692966329,18106.438406607544,71856.9370361764
,,,,,,,288.0,15,13905.762740339198,1182.5491529833525,895.7737223523878,1774.3346752294358,203.04072823330054,1095.4819574019593,1952.9427476554254,7451.309589687505,2322.7392263033726,18226.44288492588,71712.19792674558
,,,,,,,312.0,16,13980.195032764885,1187.5984661899424,898.8033967233655,1781.403737680549,203.04072823330054,1100.5302613531203,1962.0356005932933,7479.568653551957,2333.857647317009,18580.354397254538,72462.02692421358
,,,,,,,216.0,17,14297.035196468814,1204.7661310923481,911.9319856642685,1806.6503892916678,206.0711868636483,1115.6751732066036,1990.3244763999937,7583.521638481906,2368.2236759046136,19825.146613031196,75370.88097069133
,,,,,,,288.0,18,15728.348062978954,1269.3973401366986,960.4067755999107,1903.5975314783645,217.1828685082568,1175.2451598303048,2098.428394661313,7985.204046269476,2497.601665881477,21871.3246670693,81184.5685328293
,,,,,,,264.0,19,16878.025228418934,1380.4822306816764,1045.2376579872846,2071.2352981761937,236.37577316712603,1278.2305604339913,2282.306087404866,8687.643633757287,2715.927023967434,21834.71313131116,82727.44723405369
,,,,,,,48.0,20,16541.068228924276,1378.4625053990403,1044.227766530292,2068.2056999828596,236.37577316712603,1277.220899643759,2278.26481943248,8682.597372352919,2710.8731962339625,21327.236566219206,81594.66267621664
,,,,,,,480.0,21,16083.410214685264,1356.245527290045,1026.0497203044263,2033.870253791738,232.33516165999566,1256.0180230488825,2240.8830906879116,8536.255791626292,2665.3887466327214,20786.199426682295,80097.01494668939
,,,,,,,408.0,22,15449.729887277403,1314.8411589960078,995.7529765946498,1973.2782899250526,225.26409152251753,1218.6605738102903,2174.2021691435466,8279.905712284477,2586.5490339905705,19850.571290641015,77738.97362221226
,,,,,,,432.0,23,14435.841363424823,1255.259263158247,950.3078610299852,1882.3903441250245,215.16256275469163,1162.1195695572858,2075.191103820095,7898.408350114372,2470.3109961207324,18423.738383178064,74088.33163990156
,,,,,,,312.0,24,13215.755272717304,1166.3913507222649,882.6451334114847,1749.0880236183168,200.01026960295277,1080.337045548476,1928.6951398211106,7335.245577387077,2296.4593220893225,17053.856753561104,70365.32010287543
