Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t87,1133.4304427932286,240.0,1166.7,0.0,0.0,0.0,0.0,0.0,831.7699652019003,0.0,0.0,0.0,0.0,0.0,0.0,10419.00401929189,4.712838618582082,3.5827191539220924,7.06925792787312,0.8175332297540344,4.328117098697829,8.007016632590984,0.0,9.762308567062881,75.2097482037545,340.89598533350613,68.2680965594643,23.805877196765284,18.01417888547172,0.0,4.1141029383671555,21.80873984804337,0.0,144.55280130049255,0.0,0.0,1296.3323928257116,388.8968846580417,16211.08302626512
t88,1830.0,240.0,1166.7,1490.0,1498.9940018054058,0.0,174.29331248294045,2451.950024480355,3259.1665226657587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44346793581162,0.7451629585632488,3.9449803688642575,7.298213682398876,26.14645322252811,8.898122387549382,68.82168996844433,307.8343285625881,61.617716788382594,0.0,0.0,47.82580724263897,5.516302515108415,29.24175896358442,54.09189844912135,193.82037672016847,66.03496117600656,579.3184968446711,1717.4251896941132,516.3127250075707,15812.441513922573
t89,261.4811572405255,240.0,1166.7,1490.0,3693.0,0.0,0.0,0.0,0.0,-0.0,0.0,416.7873368762333,0.0,0.0,0.0,0.0,4.846486027283615,3.684318459516625,7.269729040925419,0.8407169639165453,4.450854514852297,8.234080852476753,29.499274645659955,10.039149627944628,77.74236608230265,325.13983375369867,67.96142732587533,0.0,0.0,62.43227867981214,7.201035502822678,38.17247946156488,70.61209570729035,253.0150241234492,57.265038823993436,756.7109284837095,2240.693712304557,659.08301459834,11952.86233909675
t90,1830.0,240.0,1166.7,-0.0,3693.0,0.0,174.29331248294045,2451.950024480355,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,7.0455573891381365,5.35606148459991,10.568336083707203,1.2221885266872277,6.4704098471676765,11.9702582172602,42.88443859817243,14.594368877500425,113.02476527666906,484.3402608079069,33.386162038183755,49.128327649726174,37.17596605709146,0.0,0.0,0.0,0.0,0.0,101.63628857736977,893.5040113350303,2628.065216764955,757.8988411106977,14754.214795605158
t91,1045.7405786202623,240.0,1047.3416793737838,-0.0,3693.0,0.0,174.29331248294045,832.6105139222291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.795117353121544,6.686084110281172,13.19267602968231,1.5256836224802675,8.077148589601416,14.94272489076262,53.53354592996939,15.594047335710185,141.02511081895923,601.9199054383946,120.11029145396722,37.71600878789645,28.540134166680037,0.0,6.518035075760629,34.55191409092528,63.91471287881782,229.01717416677394,21.66371142263023,686.5450906259034,412.21588123637457,581.5301817139468,10120.601264137855
t92,0.0,46.64890537567585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,10.256757059758794,7.797228581143164,15.385135589638185,1.7792333675091787,7.128185076316635,17.42602092295754,62.43015904230735,21.246139623786075,167.10198652564108,699.4541160381492,87.99277679788,21.18318919929743,16.029560954501918,31.73924153518893,3.660853166992677,19.40607601143691,35.89768639478255,128.62745253734462,43.82361121264049,393.0645668077824,1216.417582991033,0.0,3054.496464811764
t93,349.2154670404109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.838198472455224,8.9994467979379,1.4727119456381015,2.0535650411401916,10.871814923683365,20.112857608814227,72.05597335530143,24.521982550085813,193.99921382334315,806.4066546805743,167.01835965002752,17.17344313295481,5.537652197019693,15.60225551425264,1.7995882620022652,15.732718037908265,29.1026469199402,104.27968237946888,21.542643951929996,320.4346790555452,937.7461592009569,273.44735836928265,3410.9650729106734
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.576883685029348,7.280386066680473,14.36532552754402,1.6612961494438663,4.460196785659578,16.270929934259044,58.29195018489802,19.837830490417932,154.91454612313646,660.4713253060536,141.87857209812526,13.441999052512518,10.171714048126084,20.14044488908335,2.32303003759864,12.314314568241336,22.77922658227792,81.62180297154832,27.80869938212741,247.81624495996346,724.3001158653736,224.6068091823013,2476.333643890401
t95,1830.0,0.0,528.6837015121763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04130835121192,6.873239511890693,13.561962526817878,1.3059054419067628,8.303242363357883,15.360998372212086,55.03204521936643,18.72842444179612,146.46634772001352,614.7803861603227,135.96096400558957,8.670870713796418,6.561346798527157,12.991757629899665,1.4984894018809247,7.943448674048396,14.69392520291004,47.37106211163814,17.938227500186212,160.20214513844905,480.7455988947501,146.9894749021077,4289.704872594855
t96,0.0,25.262707493806776,0.0,597.6799946826862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857.6687274472374,0.0,5.702032926625432,4.334708704424436,8.553049389938145,0.9891281607411462,5.2365608509825385,9.687637574317696,34.70676164012316,11.811353919438393,93.54699587905509,409.656404487474,84.93448869348163,1.8016242257622865,4.4576276535728,8.826300431575408,1.0180391315254953,5.396595784591461,9.982713813987866,35.769743854279284,12.18681795311588,110.10626460093205,330.2105461324626,98.90493518652217,3768.4317606186596
