time,theta_0,theta_1,theta_2
0.0,-0.8101168467753259,0.16235650578055258,2.5478196100038497
0.02003338898163606,-0.8184588068515699,0.17354507485487145,2.5449730010057747
0.04006677796327212,-0.8283364884490176,0.18539054201060196,2.543005215447492
0.060100166944908176,-0.840018112732961,0.19803049945360326,2.542046882288434
0.08013355592654424,-0.8538040472115027,0.21162633537714542,2.5422369808434335
0.1001669449081803,-0.870020250021696,0.22636053901242317,2.5437189800183493
0.12020033388981635,-0.8890033797382165,0.2424292600509878,2.5466333886963053
0.14023372287145242,-0.911073364503761,0.2600274254750948,2.5511052080377423
0.16026711185308848,-0.936489124015766,0.27932339252704524,2.5572250004977968
0.18030050083472454,-0.9653852023916638,0.3004210224124411,2.565023448988299
0.2003338898163606,-0.9976933415742744,0.3233105908133213,2.5744420197700295
0.22036727879799667,-1.0330646628100861,0.34781718626942476,2.585306745549738
0.2404006677796327,-1.070821733186851,0.37356453075994683,2.5973164714359807
0.2604340567612688,-1.1099759845131953,0.3999777335847577,2.6100575199375142
0.28046744574290483,-1.1493309179311315,0.4263408253885005,2.623049361551708
0.3005008347245409,-1.187654122928406,0.45190160239141053,2.635811789546073
0.32053422370617696,-1.2238627286680688,0.4759900477824875,2.6479319498946583
0.340567612687813,-1.257158432573189,0.49810835585481866,2.6591093457274475
0.3606010016694491,-1.2870775983237845,0.517967758844686,2.6691691084881755
0.3806343906510851,-1.3134638829175245,0.5354747029744087,2.6780484489521927
0.4006677796327212,-1.336396318245738,0.5506867041530727,2.685768883101742
0.42070116861435725,-1.356106954332192,0.5637600833959591,2.69240613994531
0.44073455759599334,-1.3729096049791771,0.5749040646259097,2.6980648093623443
0.4607679465776294,-1.3871476915834549,0.5843468891888516,2.7028600714036797
0.4808013355592654,-1.3991607299161406,0.5923139306153566,2.7069060683098605
0.5008347245409015,-1.4092653294761848,0.5990152501697522,2.710309348315509
0.5208681135225376,-1.4177461930105326,0.6046396971632136,2.713165764856395
0.5409015025041736,-1.4248533275018955,0.609353089259546,2.715559507251426
0.5609348914858097,-1.4308028316021624,0.613298747387899,2.7175633532233396
0.5809682804674458,-1.4357795016624797,0.616599229347007,2.7192395413245487
0.6010016694490818,-1.4399402086167232,0.6193585715257028,2.7206409061000967
0.6210350584307178,-1.4434174494450043,0.6216646451071621,2.721812073346918
0.6410684474123539,-1.4463227445889406,0.6235914095748281,2.722790604023189
0.66110183639399,-1.448749731593256,0.6252009645385705,2.7236080360637622
0.681135225375626,-1.4507769007534979,0.626545364052592,2.7242908057099826
0.7011686143572621,-1.4524699687128872,0.6276681907877996,2.7248610469341643
0.7212020033388982,-1.453883912638824,0.6286059050888032,2.7253372765590975
0.7412353923205343,-1.4550646992875582,0.6293889916775091,2.7257349766191257
0.7612687813021702,-1.4560507466163826,0.630042928982267,2.726067086643192
0.7813021702838063,-1.4568741546343118,0.6305890054271426,2.7263444182162457
0.8013355592654424,-1.4575617392074445,0.6310450050421796,2.7265760031743413
0.8213689482470784,-1.458135898829607,0.6314257822976451,2.7267693855410386
0.8414023372287145,-1.4586153405904172,0.6317437435592594,2.7269308660402345
0.8614357262103506,-1.4590156880213405,0.6320092502059962,2.7270657068244213
0.8814691151919867,-1.4593499890579997,0.632230955505912,2.7271783025611644
0.9015025041736227,-1.4596291386295193,0.6324160848734226,2.7272723227651734
0.9215358931552587,-1.4598622341433225,0.6325706716234754,2.727350831528924
0.9415692821368948,-1.4600568738023252,0.6326997548127039,2.727416387998698
0.9616026711185308,-1.4602194028193458,0.6328075425265065,2.727471129301916
0.9816360601001669,-1.4603551171363216,0.6328975469837119,2.7275168391616864
1.001669449081803,-1.4604684412823419,0.6329727024903535,2.727555007801065
1.021702838063439,-1.4605630699275873,0.6330354593169081,2.727586879619756
1.0417362270450752,-1.4606420855501643,0.6330878617338326,2.7276134928254083
1.0617696160267112,-1.4607080663147713,0.6331316195556806,2.727635715768167
1.0818030050083471,-1.4607631606022204,0.6331681575683787,2.7276542720429187
1.1018363939899833,-1.4608091660742828,0.6331986679642879,2.727669767119072
