time,theta_0,theta_1,theta_2
0.0,-0.8101168467753259,0.16235650578055258,2.5478196100038497
0.02003338898163606,-0.7936727512880057,0.15973826116530565,2.5339937591317767
0.04006677796327212,-0.7774461958471707,0.1575030827340169,2.52000238212223
0.060100166944908176,-0.7614356409145009,0.15565543446592864,2.5058394754576487
0.08013355592654424,-0.7456389233038229,0.15419898698516035,2.491499205327739
0.1001669449081803,-0.7300532871645482,0.1531366199000623,2.476975936273562
0.12020033388981635,-0.7146754408319935,0.15247042651063256,2.4622642833304376
0.14023372287145242,-0.6995016143226004,0.15220171663751034,2.4473591666941665
0.16026711185308848,-0.6845275830015682,0.1523310175211714,2.4322558344894736
0.18030050083472454,-0.6697487207492535,0.15285807546147898,2.416949914296851
0.2003338898163606,-0.6551600539585035,0.15378185541631098,2.4014374675512693
0.22036727879799667,-0.6407563059318644,0.15510053832976325,2.3857150366111775
0.2404006677796327,-0.6265319225412737,0.15681151991857395,2.3697796716317767
0.2604340567612688,-0.6124811309899627,0.15891140823605418,2.3536289917629856
0.28046744574290483,-0.5985979860109997,0.16139601743696172,2.3372612375831148
0.3005008347245409,-0.5848763941525597,0.16426036490660803,2.3206752982550283
0.32053422370617696,-0.5713101573746694,0.16749866832123494,2.3038707580625113
0.340567612687813,-0.5578930180817119,0.1711043416262851,2.2868479454645034
0.3606010016694491,-0.5446186913316734,0.17506999169833748,2.2696079686424127
0.3806343906510851,-0.5314808891732866,0.17938741884083043,2.252152739341533
0.4006677796327212,-0.5184733645551366,0.18404761807593023,2.2344850154882834
0.42070116861435725,-0.5055899436602197,0.18904078468991833,2.216608427979378
0.44073455759599334,-0.4928245424541952,0.19435631858050775,2.1985274928827643
0.4607679465776294,-0.4801712036853374,0.19998283671477318,2.180247635979641
0.4808013355592654,-0.46762412465593806,0.20590819354128295,2.161775200123732
0.5008347245409015,-0.4551776735471629,0.21211949622463414,2.1431174463316056
0.5208681135225376,-0.4428264143626042,0.21860312945260305,2.1242825539190777
0.5409015025041736,-0.4305651316762029,0.2253447946596764,2.105279606025603
0.5609348914858097,-0.41838884450251995,0.23232954550571205,2.0861185680058845
0.5809682804674458,-0.40629282206226713,0.2395418234213707,2.066810267649973
0.6010016694490818,-0.3942726034774504,0.24696551778086206,2.047366354705665
0.6210350584307178,-0.38232400729854504,0.25458402573692895,2.0277992505706925
0.6410684474123539,-0.3704431409022158,0.26238029783124317,2.0081221120800494
0.66110183639399,-0.3586264135397981,0.2703369179982408,1.988348764550634
0.681135225375626,-0.3468705403859696,0.27843618455720887,1.9684936248378373
0.7011686143572621,-0.33517254699563515,0.28666016517030507,1.9485716508344066
0.7212020033388982,-0.3235297750708053,0.2949907916502953,1.9285982524295866
0.7412353923205343,-0.31193988078300244,0.30340995386866954,1.9085891959234094
0.7612687813021702,-0.3004008348542774,0.31189956078641506,1.8885605430769388
0.7813021702838063,-0.28891092114632555,0.32044164161132255,1.8685285485440795
0.8013355592654424,-0.27746872970400366,0.3290184421803948,1.8485095565326854
0.8213689482470784,-0.26607315286857697,0.33761248582211123,1.8285199360555422
