Zone,1,2,3,4,5,6,7,8,9,10,11,Total
CO2_Price_1,497.99903484697575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,473.1978098091919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,444.18791598688955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,445.2536617334618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,445.12011017560525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,445.28842556437644,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,449.017374805346,0.0,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.2259755147699,0.0,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.2413485574712,0.0,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.90218587792947,0.0,0.0
CO2_Price_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.79449588630916,0.0
AnnualSum,25000.00000000009,24999.999999999985,24999.999999999985,24999.999999999713,25000.0,25000.00000000057,25000.000000000007,24999.99999999909,24999.999999999593,25000.000000005366,25000.00000000011,275000.0000000045
t1,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t2,2.8538812785388203,2.8538812785387324,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.26034115238161
t3,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t4,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t5,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t6,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t7,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t8,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t9,2.8538812785388203,2.8538812785388106,2.853881278538841,2.853881278538925,2.853881278538865,2.853881278538852,2.8538812785387826,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381866
t10,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t11,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t12,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t13,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t14,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t15,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t16,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t17,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.8538812785397756,2.8538812785388257,31.260341152381688
t18,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t19,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762945,2.853881278539775,2.8538812785388257,31.260341152381734
t20,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t21,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t22,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t23,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t24,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762483,2.853881278539775,2.8538812785388257,31.260341152381688
t25,2.8538812785389847,2.8538812785388084,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.26034115238188
t26,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t27,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t28,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t29,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t30,2.8538812785388203,2.853881278538861,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381773
t31,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t32,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t33,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.853881278539564,2.8538812785388257,31.260341152381507
t34,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t35,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t36,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t37,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t38,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t39,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t40,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t41,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t42,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t43,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t44,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t45,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t46,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t47,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
t48,2.8538812785388203,2.8538812785388106,2.853881278538811,2.853881278538781,2.853881278538812,2.8538812785388785,2.853881278538813,2.754503344755119,2.8209063007762767,2.8538812785397756,2.8538812785388257,31.260341152381717
