Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t471,6632.902084478641,1454.8799999999999,7073.009624480368,10700.348660081758,15992.19108083141,16045.168529801322,-0.0,-0.0,721.5208892716034,-0.0,38624.07896384701,4708.585809200869,203.33068447618027,582.173801304521,35714.13450507905,146753.70806420443,410.89823320421567,1927.7252357786554,0.0,39.77916455943142,1005.3567570941052,151.15863766860102,168.68280000000001,1253.0098475012612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,290162.6433728635
t472,7802.139703675743,1662.7199999999998,8083.371824480369,11592.627283129388,19190.32908083141,16045.168529801322,-0.0,-0.0,721.5208892716034,0.0,38624.07896384701,4708.585809200869,299.7542803111931,582.173801304521,35714.13450507905,146753.70806420443,635.2348538498042,2048.016748667983,0.0,39.779164559431436,1072.5535570941056,173.95043766860104,262.8912,1253.0098475012612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,297265.7485444781
t473,7460.1523772154205,1633.8511036267764,8083.371824480369,12043.879907621249,22388.467080831408,16045.168529801322,-0.0,-0.0,721.5208892716034,-0.0,38624.07896384701,4708.585809200869,299.7542803111931,582.173801304521,35714.13450507905,146753.70806420443,799.785854671708,2048.016748667983,0.0,39.77916455943143,1072.5535570941056,173.95043766860107,357.0996,1253.0098475012612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,300803.0423469583
t474,8449.816396300745,1662.8175519630483,8083.371824480369,10323.325635103927,25586.605080831407,16045.168529801322,-0.0,-0.0,721.5208892716034,-0.0,38624.07896384701,4708.585809200869,299.7542803111931,582.173801304521,35714.13450507905,146753.70806420443,875.7260554936117,2048.016748667983,0.0,39.77916455943143,1072.5535570941056,173.95043766860107,361.7681355628152,1253.0098475012612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,303379.8652782473
t475,6477.655092601606,1385.6812933025403,6736.143187066974,8602.771362586605,21322.17090069284,16045.168529801322,-0.0,-0.0,721.5208892716034,-0.0,38624.07896384701,4708.585809200869,299.7542803111931,582.173801304521,35714.13450507905,143930.5597886111,875.7260554936119,2048.016748667983,0.0,39.77916455943143,1072.5535570941056,173.95043766860107,361.7681355628152,1253.0098475012612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,34.6660436613149,26.23219075713594,-0.0,5.990943787106435,31.757818521942845,-0.0,208.11611394508517,71.71683193691489,270.77713182329745,1980.065061722075,-0.0,293604.5244863799
t476,4389.201899732967,1108.5450346420323,5388.914549653579,6882.217090069284,17057.736720554272,16045.168529801322,-0.0,-0.0,721.5208892716034,-0.0,38349.28597848,4708.585809200869,227.9432664240727,582.173801304521,33912.853450342925,137693.58635013498,840.2817354936118,1845.9200486679827,0.0,34.52526455943143,1005.3567570941054,151.1586376686011,314.2921355628152,1253.0098475012612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,70.78284597648002,53.56218713992028,54.11460481114506,12.232605932176918,64.84468775697667,61.20464821865231,427.42267028498884,146.43498169295282,926.5604990607274,4076.0192711331997,-0.0,278405.45679816743
t477,2276.037927446593,831.4087759815243,4041.6859122401847,5161.662817551963,12793.302540415705,16045.168529801322,-0.0,-0.0,721.5208892716034,-0.0,37483.21871514317,3923.3880425979432,227.84403552696793,582.173801304521,31196.520729653348,132430.3186902232,716.2266154936117,1580.2311342497405,0.0,27.957889559431425,919.7292596011122,122.66888766860112,252.9316171597615,1253.0098475012612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,822.2615127196689,16.24062185908315,101.22432894237491,76.59760461914611,99.72575294628622,17.49346624339701,92.73235503781326,112.7917250568299,612.2678495695083,209.4120764864904,1478.783037146267,5887.282639262721,-0.0,262113.81962828117
t478,162.87395516021934,554.2725173210162,2694.4572748267897,3441.108545034642,8528.868360277136,16045.168529801322,-0.0,-0.0,466.37506346620665,-0.0,36406.95336721397,2026.074086526443,113.92201776348396,582.173801304521,29914.129627019265,129840.41206610212,680.7822954936116,1516.6389198314985,0.0,26.64441455943142,901.298562108119,116.97093766860112,239.04709875670778,1253.0098475012612,8.871642842921087,6.744259099975723,13.307464264381625,1.5389584523434534,8.147427100641814,15.072740136187354,53.999336283698234,18.376974460336534,140.47127960228846,1468.7273038615251,-0.0,127.43880760104564,96.4343997115295,139.00348690969724,22.023820776690776,116.74763246672974,157.21558989786587,771.4460345791214,263.64437881223034,1951.7045575793004,7434.7029647398285,222.8975824497435,248549.69792936443
t479,0.0,277.1362586605081,1347.228637413395,1720.554272517321,4264.434180138568,16045.168529801322,-0.0,-0.0,-0.0,-0.0,35606.52649567188,-0.0,-0.0,582.173801304521,29555.436629217602,129840.41206610212,733.9487754936116,1655.1434054132565,0.0,30.584839559431416,950.0646646151257,134.06478766860113,272.6385803536541,1253.0098475012612,17.116173191564457,13.011784722158694,25.674259787346678,2.969132084250977,15.718934563681643,29.08002894281104,104.1816051915122,35.45493018252637,270.91040689666397,1235.0535933462638,-0.0,147.89959690691802,111.91731242453025,169.66034068510672,25.559829666799597,135.4919126026464,191.88907513097178,895.6869683005177,305.97349494333884,2320.9791942077927,8657.73919470074,222.8975824497435,239203.39112236007
t480,0.0,-0.0,5.1645267482647354e-14,0.0,0.0,16045.168529801322,-0.0,-0.0,-0.0,-0.0,35606.52649567188,-0.0,-0.0,582.173801304521,29555.436629217602,129840.41206610212,875.7260554936117,1995.7445909950143,0.0,39.77916455943143,1066.0275671221325,173.95043766860107,353.7060619506006,1253.0098475012612,14.106802410886228,10.724048771541062,21.160203616329337,2.4470983773986315,12.955226703875105,23.967169402168942,50.18226890781397,29.22123356540718,223.27094524100875,1015.6017457826285,-0.0,127.04948195030285,96.13979254964191,190.36105265372558,20.6,116.39096836386807,215.30197444598303,706.0476931951099,262.83894504148225,2300.455150102078,7516.281094833739,222.8975824497435,230565.66172575287
