Fuel,AnnualSum
No_fuel,0.0
new_england_coal,0.0
new_england_naturalgas,0.0
new_england_uranium,1.653754138797236e8
middle_atlantic_naturalgas,0.0
middle_atlantic_uranium,6.84902589564759e8
middle_atlantic_coal,0.0
east_north_central_coal,0.0
east_north_central_naturalgas,0.0
east_north_central_uranium,1.3142942959572113e9
new_england_naturalgas_ccs100,3.227008092081077e8
middle_atlantic_naturalgas_ccs100,7.884391891748227e8
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,1.9877618533478208e9
None,0.0
