Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t36,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,696.438682838477,591.4734120815428,0.0,0.0,0.0,0.0,1287.9120949200199
t37,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,692.6147717824507,0.0,0.0,209.19165124930362,0.0,0.0,901.8064230317543
t38,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1254.5321314908892,0.0,171.74447433530767,0.0,0.0,0.0,1426.2766058261968
t39,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,68.25985444841419,0.0,1177.0126794669227,0.0,0.0,0.0,0.0,1245.272533915337
t40,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1088.992610459598,445.61472001371794,0.0,0.0,0.0,0.0,1534.6073304733159
t41,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,353.39274908977865,0.0,0.0,0.0,0.0,353.39274908977865
t42,0.0,-0.0,0.0,0.0,0.0,1954.9618589410782,-0.0,-0.0,-0.0,0.0,528.4437899916248,0.0,0.0,0.0,0.0,0.0,2483.405648932703
t43,-0.0,0.0,0.0,0.0,0.0,343.34557424923435,0.0,0.0,0.0,0.0,-229.47142755764938,0.0,0.0,-209.19165124930362,0.0,0.0,-95.31750455771865
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.20573468161763,-408.5878962167028,-695.5061464569903,0.0,-37.96294616244449,0.0,0.0,-1195.2627235177551
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1264.3646434462808,0.0,0.0,0.0,0.0,0.0,-1264.3646434462808
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-433.4699797994917,-997.5834861756498,0.0,0.0,0.0,0.0,-1431.0534659751415
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1797.027295942286,-202.91171353415368,0.0,0.0,0.0,-1999.9390094764397
t48,0.0,0.0,0.0,0.0,0.0,-292.48032076904576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-292.48032076904576
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1531.8583629450566,0.0,-1531.8583629450566
t51,0.0,0.0,-114.37073288273372,-1.0490215426017817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2332.5521595194155,0.0,-2447.9719139447507
t52,-261.52909725030605,0.0,-303.63509282865056,-1490.0,-437.65494774814675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2321.977798741449,-0.0,-4814.796936568552
t53,-416.7011128123176,0.0,-566.1995383657799,0.0,-1334.946049903999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3185.5545327538516,-0.0,-5503.401233835948
