Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-3.0453186858040615,-12.816575729869179,-12.816575729869179,-9.103198967655166,-18.411761403677534,-7.81327034666462,-7.81327034666462,-7.81327034666462,-6.662500724377543,12.0564,12.0564
t2,-3.0453186858040615,-12.816575729869179,-12.816575729869179,-8.583364662018747,-18.411761403677534,-6.6438381232686305,-6.6438381232686305,-6.6438381232686305,-5.596405237408927,12.0564,12.0564
t3,-3.0453186858040615,-12.816575729869179,-12.816575729869179,-9.35084802421106,-18.411761403677527,-6.643838123268631,-6.643838123268631,-6.643838123268631,-5.596405237408928,11.668497919023954,12.0564
t4,-3.0453186858040615,-12.816575729869179,-12.816575729869179,-9.804229027396499,-18.411761403677527,-6.643838123268631,-6.643838123268631,-6.643838123268631,-5.596405237408928,11.668497919023954,12.0564
t5,-3.0453186858040615,-12.816575729869179,-12.816575729869179,-9.804229027396499,-18.411761403677527,-6.643838123268631,-6.6438381232686305,-6.6438381232686305,-5.596405237408928,12.0564,12.0564
t6,-3.0453186858040615,-12.816575729869179,-12.816575729869179,-9.804229027396499,-18.411761403677534,-6.643838123268631,-6.643838123268631,-6.643838123268631,-5.596405237408928,12.0564,12.0564
t7,-3.0453186858040615,-12.816575729869179,-12.816575729869179,-9.846094608437825,-18.41176140367753,-6.643838123268631,-6.643838123268631,-6.643838123268631,-5.493068500981553,12.056399999999996,12.0564
t8,-6.394074700121156,-14.352278869970075,-14.352278869970075,-10.356536261775998,-18.411761403677534,-7.059346915101753,-7.059346915101753,-7.059346915101753,-5.493068500981555,12.056400000000002,12.0564
t9,-6.394074700121155,-18.411761403677534,-18.41176140367753,-18.41176140367753,-18.411761403677534,-18.411761403677534,-18.41176140367753,-18.41176140367753,-4.323636277585563,11.904462920006367,11.904462920006365
t10,-6.394074700121156,-18.411761403677534,-18.411761403677527,-18.411761403677527,-18.41176140367753,-18.411761403677527,-18.411761403677527,-18.411761403677527,-2.9419819493766877,10.677779393636296,-0.0
t11,-6.394074700121155,-18.411761403677534,-18.411761403677534,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-2.9419819493766877,10.677779393636296,-0.0
t12,-6.394074700121157,-18.411761403677534,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-2.9419819493766877,10.677779393636296,-0.0
t13,-6.394074700121155,-18.411761403677534,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-18.41176140367753,-2.941981949376687,-0.0,-0.0
