Period_Index,Rep_Period,Rep_Period_Index
1,45,3
2,2,1
3,2,1
4,34,2
5,53,4
6,53,4
7,53,4
8,45,3
9,45,3
10,53,4
11,45,3
12,365,12
13,2,1
14,365,12
15,365,12
16,53,4
17,2,1
18,2,1
19,45,3
20,34,2
21,309,11
22,365,12
23,2,1
24,365,12
25,34,2
26,45,3
27,2,1
28,365,12
29,365,12
30,34,2
31,53,4
32,2,1
33,45,3
34,34,2
35,45,3
36,125,6
37,53,4
38,34,2
39,45,3
40,53,4
41,45,3
42,45,3
43,2,1
44,2,1
45,45,3
46,276,10
47,45,3
48,53,4
49,45,3
50,45,3
51,34,2
52,45,3
53,53,4
54,34,2
55,2,1
56,2,1
57,34,2
58,53,4
59,34,2
60,365,12
61,45,3
62,2,1
63,45,3
64,53,4
65,34,2
66,2,1
67,2,1
68,34,2
69,34,2
70,53,4
71,53,4
72,2,1
73,34,2
74,45,3
75,125,6
76,125,6
77,125,6
78,125,6
79,125,6
80,125,6
81,125,6
82,125,6
83,45,3
84,45,3
85,2,1
86,34,2
87,53,4
88,53,4
89,125,6
90,309,11
91,125,6
92,53,4
93,34,2
94,97,5
95,97,5
96,97,5
97,97,5
98,97,5
99,2,1
100,97,5
101,125,6
102,97,5
103,125,6
104,97,5
105,365,12
106,2,1
107,97,5
108,34,2
109,125,6
110,97,5
111,97,5
112,365,12
113,365,12
114,53,4
115,125,6
116,97,5
117,2,1
118,97,5
119,97,5
120,125,6
121,34,2
122,125,6
123,125,6
124,125,6
125,125,6
126,125,6
127,125,6
128,268,9
129,309,11
130,53,4
131,97,5
132,97,5
133,309,11
134,309,11
135,309,11
136,97,5
137,34,2
138,125,6
139,125,6
140,125,6
141,97,5
142,125,6
143,125,6
144,125,6
145,97,5
146,125,6
147,125,6
148,125,6
149,53,4
150,185,7
151,125,6
152,53,4
153,34,2
154,97,5
155,97,5
156,34,2
157,234,8
158,234,8
159,125,6
160,185,7
161,125,6
162,97,5
163,268,9
164,34,2
165,125,6
166,125,6
167,125,6
168,125,6
169,125,6
170,125,6
171,185,7
172,185,7
173,185,7
174,234,8
175,234,8
176,97,5
177,53,4
178,97,5
179,185,7
180,185,7
181,185,7
182,185,7
183,234,8
184,234,8
185,185,7
186,185,7
187,234,8
188,185,7
189,234,8
190,234,8
191,234,8
192,234,8
193,234,8
194,234,8
195,234,8
196,185,7
197,185,7
198,185,7
199,185,7
200,234,8
201,185,7
202,234,8
203,234,8
204,268,9
205,185,7
206,185,7
207,268,9
208,185,7
209,234,8
210,234,8
211,234,8
212,234,8
213,234,8
214,234,8
215,234,8
216,185,7
217,268,9
218,185,7
219,234,8
220,234,8
221,234,8
222,309,11
223,185,7
224,185,7
225,234,8
226,234,8
227,234,8
228,234,8
229,185,7
230,234,8
231,234,8
232,234,8
233,234,8
234,234,8
235,234,8
236,234,8
237,234,8
238,234,8
239,234,8
240,185,7
241,234,8
242,234,8
243,268,9
244,185,7
245,234,8
246,234,8
247,276,10
248,309,11
249,234,8
250,234,8
251,268,9
252,234,8
253,268,9
254,234,8
255,234,8
256,234,8
257,234,8
258,268,9
259,234,8
260,234,8
261,268,9
262,34,2
263,185,7
264,234,8
265,268,9
266,185,7
267,234,8
268,268,9
269,268,9
270,234,8
271,309,11
272,276,10
273,276,10
274,268,9
275,276,10
276,276,10
277,276,10
278,234,8
279,268,9
280,276,10
281,276,10
282,309,11
283,268,9
284,34,2
285,268,9
286,185,7
287,365,12
288,365,12
289,268,9
290,234,8
291,268,9
292,309,11
293,185,7
294,268,9
295,268,9
296,276,10
297,276,10
298,276,10
299,276,10
300,276,10
301,365,12
302,365,12
303,365,12
304,276,10
305,276,10
306,53,4
307,365,12
308,365,12
309,309,11
310,309,11
311,309,11
312,309,11
313,309,11
314,276,10
315,276,10
316,45,3
317,309,11
318,309,11
319,276,10
320,276,10
321,309,11
322,309,11
323,309,11
324,309,11
325,309,11
326,309,11
327,276,10
328,2,1
329,365,12
330,309,11
331,276,10
332,309,11
333,309,11
334,276,10
335,309,11
336,276,10
337,276,10
338,276,10
339,365,12
340,34,2
341,276,10
342,276,10
343,45,3
344,365,12
345,309,11
346,276,10
347,276,10
348,45,3
349,276,10
350,365,12
351,365,12
352,365,12
353,365,12
354,45,3
355,2,1
356,2,1
357,365,12
358,276,10
359,309,11
360,365,12
361,2,1
362,34,2
363,45,3
364,2,1
365,365,12
