Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.283870538672003e7
new_england_naturalgas,3.362756471356241e8
new_england_uranium,6.997477820135191e7
middle_atlantic_naturalgas,1.0724534190514263e9
middle_atlantic_uranium,6.549124180885301e8
middle_atlantic_coal,0.0
east_north_central_coal,2.077857306493732e9
east_north_central_naturalgas,9.112324095091331e8
east_north_central_uranium,0.0
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
