Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t53,352.698327061731,0.0,0.0,0.0,476.0322622442306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38801124783953006,0.29496773432698964,0.582016871759295,0.06730807360481643,0.3563368602607928,0.6592231914824668,2.361721523839588,0.8037375848104551,6.345676670318468,26.169762784238557,5.545805848667263,0.3750895588149107,0.28383454870054486,0.5620049933250256,0.06482252442606679,0.34362231394788806,0.6356383463138587,2.2775991834751035,0.7759822584207801,7.00588127514312,27.98149381805714,5.719062036771814,918.330188554506
t54,0.0,0.0,0.0,0.0,915.226079013112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0035722916240255,0.7629197523060194,1.505358437436038,0.1740890709960044,0.9216480229200232,1.7050488424020431,6.108478285242155,2.0788283183640526,16.322133842729016,69.27514009433821,14.104952672607183,1.1468065142293897,0.8678015736870048,1.7182855993403439,0.1981897163852805,1.0505979140423605,1.943413723777993,6.963578481537183,2.372504080612144,21.305898232331806,57.214720930975865,17.20829971630844,1141.1783451273045
t55,1830.0,149.23024154821127,1166.7,1490.0,572.6790741469317,1605.1164886389302,-0.0,0.0,-0.0,-0.0,3975.1034183352153,0.0,0.0,0.0,5331.530090009931,4271.919621543067,6.620555489511479,5.032973305802094,9.930833234267217,1.148463707364236,6.080101980163603,11.248188663302665,40.29756479075099,13.71400779970235,107.27951994341272,426.5429563254494,93.5773317022721,2.260082911347527,1.7102305251975414,3.3863322815995653,0.390584798437576,2.0704786402613253,3.8300062759412787,13.723557141219294,4.675641324985739,41.8296171723817,116.62584453331844,34.12328102910224,21338.37708779808
t56,1830.0,240.0,1166.7,1490.0,3693.0,3625.0225017484468,0.0,-0.0,-0.0,27.44154136802105,3975.1034183352153,2279.4682258520183,202.91171353415368,209.19165124930362,10220.544943107658,15179.897158454225,6.072078612487209,4.616018945207113,9.10811791873081,1.0533197593090056,5.576398725753559,9.805342169804893,36.95913155457775,12.577877125866358,99.59051903263585,434.3858637356973,85.53816786983874,3.6860779453683405,2.78929723718309,5.522932223513301,0.6370235375384884,3.376843218407909,6.246541484600711,22.382409537396015,7.625728366844234,68.6435143896034,199.423601933275,55.507339499034686,45220.40529847171
t57,1830.0,240.0,1166.7,1490.0,3693.0,3625.0225017484468,-0.0,-0.0,-0.0,151.21432691336608,3975.1034183352153,2279.4682258520183,202.91171353415368,209.19165124930362,10220.544943107658,21952.63211165889,6.503904158576391,4.944294487897357,9.755856237864583,1.1282282724061083,5.972973206855867,11.050000432683355,39.58753908766138,13.472372899908235,108.13681654558681,474.57654878319397,89.85738171554338,6.902346201827682,5.223084122523969,10.341938184953223,1.1928551321950527,6.323290312412609,11.696928966184496,41.91206527586306,14.279518232975727,129.62679841038806,379.08783574415685,102.01963108171856,52509.38109989243
t58,1830.0,240.0,1166.7,1490.0,3693.0,3625.0225017484468,0.0,0.0,0.0,0.0,1913.6541468097735,2279.4682258520183,0.0,205.86262851852317,9215.406658180025,20059.6125260114,10.25751624066448,7.797805713566362,15.386274360996714,1.7793650621560828,9.420167976120437,17.42731075582281,62.43477997506489,21.247712212804988,171.9574461580556,733.6984107346404,142.17927260022554,12.09404252789862,9.151699966581003,18.12077177418367,2.0900778194187217,11.07944164468565,20.494937840902022,73.43681192695487,25.02005778003188,228.78320457657048,671.0709336903298,179.43800612470864,48163.09273458256
t59,1830.0,240.0,1166.7,1490.0,3693.0,1371.4963265091762,0.0,0.0,0.0,0.0,1902.2415088448017,2279.4682258520183,0.0,0.0,9071.579477399255,16582.042081466454,5.7466763958288105,7.3951414069566646,14.013725639003287,1.6206349378439175,8.933727874175837,16.527396567225296,59.21076307717652,20.150519538418834,165.21956922924164,359.3649247808264,116.32072739977446,16.442010681934367,12.4418570764302,24.635428756656687,2.6180580871920913,15.062647369691547,27.86313890730488,99.83831654013498,34.01509927990783,315.0645111090205,938.2192569467643,251.26796322146373,42138.499714894686
t60,1830.0,240.0,1166.7,1490.0,3693.0,830.7265233092177,0.0,0.0,0.0,0.0,1413.610047498066,2279.4682258520183,0.0,0.0,7451.252213651488,13824.28391454958,6.939430073858478,5.275383066351597,10.409145110787716,1.2037786862815727,6.3729459861965605,11.789950074463638,42.23846978629165,14.37453372442113,118.35312241700339,533.6901666189627,100.26087147790082,21.206470096031406,16.047177874681484,31.774123818382623,3.6648765434416695,19.427403812807295,35.93713892112705,128.76881757976116,34.56251211477168,408.4524329243723,1212.4097589331204,327.8627733981366,37310.06220789952
t61,1830.0,240.0,1166.7,1490.0,3693.0,1071.5805855421738,0.0,0.0,0.0,0.0,437.15355264269544,1117.1663356276729,0.0,0.0,5957.08792513285,8687.662132574325,6.913893530312714,5.255970081717317,10.370840295469067,1.1993488777073071,6.34949405845045,11.746564008133333,42.08303562072992,14.321636598504904,118.87132697236892,518.3449086002109,101.91726513844182,26.451373567535292,20.01605617274902,19.482919763247793,4.571294425261972,5.668166600708652,44.82531426713195,160.6166458740104,54.722388605320496,513.7045012348249,481.7957595623802,244.0564969282359,28103.635732303173
t62,1830.0,240.0,1166.7,1490.0,3693.0,0.0,0.0,0.0,0.0,0.0,0.0,351.12620035095546,22.470674580154068,209.19165124930362,3526.9140170270157,7671.545960515441,5.722293242124063,4.350110678961661,8.583439863186094,0.992642705266419,5.255167263175159,9.722059436874046,34.830080805377584,11.853321715828416,94.07555061062772,442.8420206725496,86.3748468386729,27.3027341112679,20.660290409701044,40.90829121033931,4.718425525940593,25.012236283141398,46.26805612815533,165.78623279979615,0.0,535.8719131552496,1618.2515309412454,440.6893426970799,23831.01909081743
