region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,0.0,2.6501822958380217e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.185344211893914e-9,0.0,0.0,0.0,0.0,2.6501822958380217e-10,-2.6501822958380217e-10
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,20,0.0,0.0,0.0,-8.244001037382986e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.185344211893914e-9,0.0,0.0,0.0,0.0,-8.244001037382986e-10,8.244001037382986e-10
NY_Z_B,NY_Z_B_nuclear_1,3,1,21,0.0,0.0,0.0,2.2609256589999998e8,0.0,0.0,9.700692484525554e6,2.2786926646150447e7,0.0,0.0,0.0,0.0,4.770072707866881e6,0.0,0.0,0.0,2.530136759844303e8,0.0,0.0,8.446068298740144e7,4.770072707866881e6,2.5858018503067598e8,-2.538101123228091e8
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,-3.5256562114227563e-9,0.0,0.0,-2.6384712905971488e-9,-1.649464355730039e-8,0.0,0.0,0.0,0.0,-1.2818506138504254e-9,0.0,0.0,0.0,-9.896550739030263e-8,-0.0,-1.1422023091122309e-7,0.0,-1.2818506138504254e-9,-1.368790019705434e-7,1.3559715135669297e-7
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,23,0.0,0.0,0.0,0.0,0.0,0.0,5.610708024128463e-11,1.895636641960458e-9,0.0,0.0,0.0,0.0,5.684448758159876e-10,0.0,0.0,0.0,0.0,0.0,1.3126688928823124e-8,0.0,5.684448758159876e-10,1.5078432651024868e-8,-1.4509987775208881e-8
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,24,0.0,0.0,0.0,7.52680857e8,0.0,0.0,5.126239157328097e7,1.2041535780563693e8,0.0,0.0,0.0,0.0,5.53048569617862e7,0.0,0.0,0.0,1.2087028697897172e9,0.0,0.0,4.0348755660762745e8,5.53048569617862e7,9.243586063789178e8,-8.690537494171317e8
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,26,0.0,0.0,0.0,2.6501822958380217e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.185344211893914e-9,0.0,0.0,0.0,0.0,2.6501822958380217e-10,-2.6501822958380217e-10
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,27,0.0,0.0,0.0,0.0,0.0,0.0,7.966931543756843e-9,4.9277380945517356e-8,0.0,0.0,0.0,0.0,6.415030298513803e-9,0.0,0.0,0.0,0.0,0.0,3.4379544455356153e-7,0.0,6.415030298513803e-9,4.0103975704283574e-7,-3.9462472674432196e-7
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,28,0.0,0.0,0.0,1.0600729183352087e-9,0.0,0.0,2.9909584391723548e-9,1.716948230735785e-8,0.0,0.0,0.0,0.0,1.8949879943954358e-9,0.0,0.0,0.0,2.4741376847575658e-8,0.0,1.1978700347607508e-7,0.0,1.8949879943954358e-9,1.410075171409405e-7,-1.3911252914654506e-7
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,33,0.0,0.0,0.0,391071.2,0.0,0.0,105054.61536000008,745676.6040000003,0.0,0.0,0.0,0.0,79247.33510857336,0.0,0.0,0.0,1.079432163153943e7,0.0,5.24537597658577e6,0.0,79247.33510857336,6.487178395945771e6,-6.407931060837197e6
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,34,0.0,0.0,0.0,0.0,0.0,0.0,2.89404519581915e-9,1.4890956089385135e-8,0.0,0.0,0.0,0.0,2.966618211727077e-9,0.0,0.0,0.0,0.0,0.0,8.914422409394902e-8,0.0,2.966618211727077e-9,1.069292253791533e-7,-1.0396260716742622e-7
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,35,0.0,0.0,0.0,-5.032688932260498e-9,0.0,0.0,-7.988440591710727e-9,-5.419347247492713e-8,0.0,0.0,0.0,0.0,-1.0285759126504838e-8,0.0,0.0,0.0,-1.9793101478060526e-7,-0.0,-3.244274595758109e-7,0.0,-1.0285759126504838e-8,-3.916420615747092e-7,3.8135630244820436e-7
