Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t34,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,540.8829575781937,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,540.8829575781937
t35,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,576.1814011925235,722.5382629161528,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.7196641086762
t36,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,738.646435928719,1051.631269483239,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790.277705411958
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.935845069328,866.8689411096016,-0.0,0.0,335.58383487781623,359.0660103328662,-0.0,0.0,0.0,2021.4546313896121
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,257.8974356337891,0.0,-0.0,0.0,0.0,257.8974356337891
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,184.237756270835,0.0,-0.0,0.0,0.0,184.237756270835
t40,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,665.6421744283571,0.0,-0.0,-0.0,212.3673847642192,211.0057008559491,-0.0,0.0,0.0,1089.0152600485253
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.3509058823104,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,428.3509058823104
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-437.6942566496451,0.0,0.0,0.0,0.0,-437.6942566496451
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
