Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t246,16275.438545453291,2542.1099307159348,8419.618878093146,18796.446620378774,57241.5,118.59373561114766,-0.0,-0.0,5473.167062274744,1122.3077038794106,-0.0,948.7278059817722,-0.0,-0.0,1158.4919090883318,1440.0,1060.0333875178828,1689.5771100000006,0.0,37.48625999999999,714.139855951401,159.22420533122138,507.2762672167191,1128.3348075854326,-0.0,-0.0,5.110184737833716,0.5717689217156605,3.108993511828903,-0.0,-0.0,4.583769623685131,60.46154108939182,-0.0,43.45977426881677,3.7423810986202097,2.841119595512132,5.613571647930316,0.6523416593925137,3.4333771546974408,6.351747736190264,22.746123649870547,6.289326993531339,36.08377800823827,-0.0,-0.0,119037.52388477647
t247,17373.915248593465,2334.416258660507,9429.981078093146,18796.446620378774,57241.5,18.21599778987227,-0.0,-0.0,4901.415647887809,1076.5011799492358,-0.0,948.7278059817722,-0.0,-0.0,1158.4919090883318,1440.0,769.4769255259387,1689.5771100000002,0.0,28.858469999999997,630.3545600000001,151.60666,519.145267216719,1078.618417700287,5.111965869148199,3.8743320271438986,7.694853887244131,0.8609626726986439,4.681484532798876,8.71724706107377,31.156086718282182,15.184372531287185,-0.0,-0.0,-0.0,7.44498077800693,5.652038159450217,11.167471167010397,1.2977489429553366,6.830257594501773,12.635976549828277,45.25045656357424,9.12997952605641,135.1708303393923,271.1163434429469,65.78024044872983,120236.006785678
t248,18958.695248593463,2057.279999999999,10000.902400000003,18796.446620378774,57241.5,103.17571508179977,-0.0,-0.0,2864.241103118185,673.0290055398436,-0.0,658.9495612620406,-0.0,-0.0,1158.4919090883318,1440.0,1060.0333875178828,1487.4804100000001,0.0,23.60457,563.15776,128.81486,566.6212672167192,903.7546278151415,11.50098504246278,8.716536032182317,17.312009063917657,1.9370080071516258,10.532481038886964,19.612206072410213,70.09547725879946,13.24880818045234,119.20068919534704,90.57161829204782,87.95044341894972,16.434598365681126,12.476724906056086,24.651897548521692,2.8647465041095543,15.077613179523972,27.893584382119343,99.88918731434629,27.74838475924402,328.8902851714755,806.5905729259756,205.6880116006247,120705.06231387248
t249,19583.341610974385,2265.119999999999,11011.264600000002,20086.786620378774,57241.5,31.26581036591233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1158.4919090883318,1440.0,1060.0333875178828,1487.4804100000001,0.0,23.60457,563.15776,128.81486,566.6212672167192,728.890837929996,13.107987055989941,9.934474400329218,19.730969989542757,2.207660977850937,12.00415656706447,22.35256740074074,79.88973163598078,17.755212033154404,153.3569238947755,570.8099723302827,103.89115777106879,26.13596117282141,19.841750339917176,39.20394175923212,4.555809745721163,23.97794603011139,44.35920015570606,158.85389244948794,49.641993037888916,536.6708515860023,1403.7262838077086,368.6211711488028,121057.0032587622
t250,20856.05492914429,2472.959999999999,12021.626800000002,20234.70994092053,57241.5,92.13035371743948,-0.0,-0.0,1034.6916458308901,81.2983576798848,-0.0,557.7349086521912,-0.0,-0.0,1158.4919090883318,1440.0,1060.0333875178828,1487.4804100000001,0.0,23.60457,563.15776,106.02306000000002,519.145267216719,679.1744480448505,11.80121421536344,8.944078142170188,17.76393297681024,1.9875729204822634,10.807427755122308,20.124175819882915,71.9252950599519,8.59418600725495,75.54538088369095,841.5989141786606,50.26965644241882,35.676923086474225,27.085003535832502,53.51538462971135,6.296883616608795,32.73112209768278,60.55257588071313,216.8436838971484,70.32869968804064,265.1304922354263,1958.300041252332,520.9147085129129,125996.55510064769
t251,22105.417733725244,2680.7999999999993,13031.989000000001,20850.29700154218,57241.5,140.11547213037295,-0.0,-0.0,3053.978994747485,1113.8214452489426,-0.0,432.6084125520122,-0.0,-0.0,1158.4919090883318,1440.0,1060.0333875178828,1487.4804100000001,0.0,21.268800000000006,630.3545600000001,128.81486,519.145267216719,754.605458159705,7.656809795621207,3.596378194128158,7.142806691115647,0.799195154250702,6.218759568199363,8.091850936788354,59.755346623600616,-0.0,-0.0,534.0731805059604,-0.0,40.88534307269881,31.039102195099332,61.328014609048225,7.126802920929149,41.55377677670519,76.8744870369046,248.50036500608223,93.80765107341195,476.06178209871086,2529.804767675327,692.9086822561167,132777.9478141196
t252,23274.276686922374,2888.6399999999994,14042.351200000001,22140.63700154218,57241.5,-0.0,-0.0,-0.0,6983.720998526236,89.7846163103528,-0.0,658.9495612620406,-0.0,-0.0,1378.6551661982564,1440.0,1060.0333875178828,1613.8653310201657,0.0,31.776600000000002,703.8965565534363,169.76266217596068,471.66926721671905,830.0364682745595,2.911588567257666,-0.0,-0.0,-0.0,1.8731359169611714,-0.0,30.834471979153342,-0.0,-0.0,187.9046024847426,-0.0,55.07869515073114,41.81433049287158,73.5926610845065,9.600873466641206,50.53091298232214,50.07076975948752,298.1965624983826,73.56152254575971,734.2438677239847,3008.7188474670947,386.93402306390306,140025.422368704
t253,24653.4719615158,3096.4799999999996,15052.7134,22140.63700154218,57241.5,118.59373561114766,-0.0,-0.0,10519.089642310013,1122.3077038794106,-0.0,-0.0,-0.0,-0.0,1378.6551661982564,1440.0,1060.0333875178828,1942.3469520403314,0.0,47.5383,905.4869565534364,233.50226435192138,440.0186005500526,905.467478389414,7.352391955824906,-0.0,-0.0,-0.0,-0.0,7.57273840997782,-0.0,-0.0,69.68010819028521,489.97182462048175,-0.0,35.518077331064504,39.1867570909029,68.4010205863569,8.997563561657461,47.35559769293401,77.39565020474633,277.1600987061862,106.90526179179852,542.2437147439257,2734.5032129720494,632.4339169628511,147442.5204852809
t254,26238.251961515798,3304.3199999999997,16063.0756,23095.0,57241.5,140.11547213037295,-0.0,-0.0,10848.139748131762,82.60184700552453,-0.0,557.7349086521912,-0.0,-0.0,1378.6551661982564,1440.0,1060.0333875178828,2472.925273060497,0.0,63.3,1107.0773565534364,274.4500665278821,455.84393388338617,980.8984885042686,3.388946772077224,-0.0,-0.0,-0.0,-0.0,13.024436516363675,-0.0,7.027605411570665,-0.0,237.5998566663564,-0.0,52.00259944014495,51.701382820502964,93.12780374997757,11.87101236966231,62.4790124719069,105.37396754584617,377.3527216168816,141.0463706553298,-0.0,3629.0055853239082,663.0401669574951,152251.96467799926
t255,27823.031961515797,3512.16,17073.4378,23095.0,57241.5,140.11547213037295,-0.0,-0.0,13286.247127715811,1115.1249345745825,-0.0,523.4980959342843,-0.0,-0.0,1580.0,1440.0,850.1455127048073,2801.406894080663,0.0,58.046099999999996,1241.4709565534365,251.65826652788212,519.1452672167197,1056.3294986191231,6.411008529447884,-0.0,-0.0,-0.0,-0.0,10.932456650216391,-0.0,13.29440716106561,-0.0,456.16757959638585,-0.0,27.150073713710864,32.83398370249911,27.72780374997756,7.538920729274718,39.678530154077464,31.37396754584617,112.35272161688155,101.19740441621491,-0.0,1141.005585323908,931.9020040816409,156547.88433454462
t256,28365.0,3720.0,18083.8,23095.0,57241.5,140.11547213037295,-0.0,-0.0,13286.247127715811,1122.3077038794106,-0.0,948.7278059817722,-0.0,-0.0,1580.0,1440.0,999.394850111345,3003.503594080663,0.0,63.3,1308.6677565534364,274.4500665278821,566.6212672167192,1131.7605087339775,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,23.130364888696462,-0.0,-0.0,223.2020040816409,156616.7285219017
