Fuel,AnnualSum
No_fuel,0.0
new_england_coal,3.8889446156220675e7
new_england_naturalgas,3.6265045441261536e8
new_england_uranium,2.347302859530102e7
middle_atlantic_naturalgas,1.1058758251956456e9
middle_atlantic_uranium,5.0931925779154146e8
middle_atlantic_coal,0.0
east_north_central_coal,2.2246638778575125e9
east_north_central_naturalgas,1.1451293075397918e9
east_north_central_uranium,2.6445797686015806e8
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
