CO2_Cap,CO2_Price
CO2_Cap_1,51156.15475073852
CO2_Cap_2,56981.14797480376
CO2_Cap_3,56491.01822966078
CO2_Cap_4,56497.74956724008
CO2_Cap_5,56485.55136361584
CO2_Cap_6,56497.74956724008
CO2_Cap_7,93799.02871937097
CO2_Cap_8,50316.39622880067
CO2_Cap_9,50316.39622880067
CO2_Cap_10,40276.833452820276
CO2_Cap_11,82965.99459103968
