Period_Index,Rep_Period,Rep_Period_Index
1,33,2
2,2,1
3,2,1
4,34,3
5,33,2
6,2,1
7,2,1
8,33,2
9,123,5
10,33,2
11,33,2
12,2,1
13,2,1
14,2,1
15,269,10
16,33,2
17,2,1
18,44,4
19,33,2
20,34,3
21,309,12
22,33,2
23,2,1
24,2,1
25,34,3
26,33,2
27,2,1
28,33,2
29,44,4
30,34,3
31,2,1
32,2,1
33,33,2
34,34,3
35,123,5
36,123,5
37,44,4
38,34,3
39,123,5
40,33,2
41,123,5
42,33,2
43,44,4
44,44,4
45,123,5
46,123,5
47,123,5
48,33,2
49,33,2
50,123,5
51,34,3
52,33,2
53,44,4
54,34,3
55,2,1
56,44,4
57,34,3
58,33,2
59,34,3
60,33,2
61,33,2
62,44,4
63,33,2
64,33,2
65,34,3
66,44,4
67,44,4
68,34,3
69,34,3
70,44,4
71,33,2
72,44,4
73,34,3
74,123,5
75,123,5
76,123,5
77,123,5
78,123,5
79,123,5
80,123,5
81,165,6
82,123,5
83,33,2
84,309,12
85,44,4
86,34,3
87,44,4
88,44,4
89,123,5
90,309,12
91,123,5
92,44,4
93,34,3
94,178,7
95,34,3
96,178,7
97,178,7
98,178,7
99,44,4
100,178,7
101,123,5
102,123,5
103,123,5
104,33,2
105,44,4
106,44,4
107,44,4
108,165,6
109,123,5
110,178,7
111,33,2
112,33,2
113,44,4
114,44,4
115,123,5
116,178,7
117,44,4
118,165,6
119,178,7
120,123,5
121,34,3
122,123,5
123,123,5
124,123,5
125,123,5
126,123,5
127,123,5
128,269,10
129,309,12
130,44,4
131,178,7
132,165,6
133,309,12
134,309,12
135,309,12
136,165,6
137,165,6
138,165,6
139,165,6
140,165,6
141,165,6
142,165,6
143,123,5
144,123,5
145,178,7
146,165,6
147,165,6
148,165,6
149,269,10
150,165,6
151,123,5
152,178,7
153,34,3
154,178,7
155,178,7
156,165,6
157,234,9
158,234,9
159,123,5
160,165,6
161,123,5
162,178,7
163,269,10
164,178,7
165,165,6
166,165,6
167,165,6
168,123,5
169,123,5
170,123,5
171,197,8
172,197,8
173,197,8
174,234,9
175,234,9
176,178,7
177,178,7
178,178,7
179,165,6
180,178,7
181,197,8
182,197,8
183,234,9
184,234,9
185,197,8
186,197,8
187,234,9
188,197,8
189,234,9
190,234,9
191,234,9
192,234,9
193,234,9
194,234,9
195,234,9
196,197,8
197,197,8
198,197,8
199,197,8
200,234,9
201,197,8
202,234,9
203,234,9
204,178,7
205,178,7
206,197,8
207,269,10
208,197,8
209,234,9
210,234,9
211,234,9
212,234,9
213,234,9
214,234,9
215,197,8
216,234,9
217,269,10
218,197,8
219,234,9
220,234,9
221,234,9
222,197,8
223,197,8
224,197,8
225,234,9
226,234,9
227,234,9
228,234,9
229,197,8
230,234,9
231,234,9
232,234,9
233,234,9
234,234,9
235,234,9
236,234,9
237,234,9
238,234,9
239,234,9
240,197,8
241,234,9
242,234,9
243,178,7
244,197,8
245,234,9
246,234,9
247,276,11
248,197,8
249,234,9
250,234,9
251,269,10
252,234,9
253,269,10
254,234,9
255,234,9
256,234,9
257,234,9
258,178,7
259,234,9
260,234,9
261,269,10
262,197,8
263,178,7
264,234,9
265,178,7
266,197,8
267,234,9
268,178,7
269,269,10
270,234,9
271,309,12
272,276,11
273,276,11
274,269,10
275,276,11
276,276,11
277,276,11
278,276,11
279,178,7
280,276,11
281,276,11
282,309,12
283,178,7
284,34,3
285,269,10
286,276,11
287,2,1
288,269,10
289,269,10
290,234,9
291,178,7
292,269,10
293,178,7
294,178,7
295,269,10
296,276,11
297,276,11
298,276,11
299,276,11
300,276,11
301,2,1
302,2,1
303,269,10
304,276,11
305,276,11
306,2,1
307,269,10
308,269,10
309,309,12
310,309,12
311,309,12
312,269,10
313,309,12
314,276,11
315,276,11
316,33,2
317,309,12
318,309,12
319,276,11
320,276,11
321,309,12
322,309,12
323,309,12
324,309,12
325,309,12
326,309,12
327,276,11
328,2,1
329,269,10
330,309,12
331,276,11
332,309,12
333,309,12
334,276,11
335,309,12
336,276,11
337,276,11
338,276,11
339,269,10
340,34,3
341,276,11
342,276,11
343,33,2
344,2,1
345,309,12
346,276,11
347,276,11
348,123,5
349,276,11
350,2,1
351,33,2
352,2,1
353,269,10
354,33,2
355,2,1
356,2,1
357,34,3
358,276,11
359,309,12
360,2,1
361,2,1
362,34,3
363,33,2
364,2,1
365,2,1
