Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,2,2
3,2,2
4,34,3
5,53,5
6,53,5
7,53,5
8,45,4
9,45,4
10,53,5
11,1,1
12,2,2
13,2,2
14,2,2
15,34,3
16,1,1
17,2,2
18,2,2
19,1,1
20,34,3
21,309,11
22,1,1
23,2,2
24,2,2
25,34,3
26,1,1
27,2,2
28,1,1
29,2,2
30,34,3
31,53,5
32,2,2
33,1,1
34,34,3
35,45,4
36,45,4
37,53,5
38,34,3
39,45,4
40,53,5
41,45,4
42,1,1
43,2,2
44,2,2
45,45,4
46,45,4
47,45,4
48,53,5
49,45,4
50,45,4
51,34,3
52,1,1
53,53,5
54,34,3
55,53,5
56,2,2
57,34,3
58,53,5
59,34,3
60,53,5
61,1,1
62,2,2
63,1,1
64,53,5
65,34,3
66,2,2
67,2,2
68,34,3
69,34,3
70,53,5
71,53,5
72,2,2
73,34,3
74,45,4
75,45,4
76,45,4
77,45,4
78,45,4
79,45,4
80,45,4
81,45,4
82,45,4
83,45,4
84,45,4
85,2,2
86,34,3
87,53,5
88,53,5
89,45,4
90,309,11
91,315,12
92,53,5
93,34,3
94,53,5
95,34,3
96,125,6
97,53,5
98,53,5
99,2,2
100,53,5
101,125,6
102,125,6
103,125,6
104,147,7
105,53,5
106,2,2
107,34,3
108,147,7
109,125,6
110,125,6
111,147,7
112,53,5
113,2,2
114,2,2
115,125,6
116,125,6
117,2,2
118,147,7
119,125,6
120,125,6
121,34,3
122,125,6
123,125,6
124,125,6
125,125,6
126,125,6
127,125,6
128,53,5
129,309,11
130,53,5
131,53,5
132,147,7
133,147,7
134,147,7
135,309,11
136,147,7
137,147,7
138,147,7
139,147,7
140,147,7
141,147,7
142,315,12
143,125,6
144,125,6
145,125,6
146,147,7
147,147,7
148,147,7
149,53,5
150,185,8
151,125,6
152,53,5
153,34,3
154,147,7
155,268,10
156,147,7
157,234,9
158,234,9
159,125,6
160,147,7
161,125,6
162,125,6
163,268,10
164,34,3
165,147,7
166,147,7
167,125,6
168,125,6
169,125,6
170,125,6
171,147,7
172,185,8
173,185,8
174,234,9
175,234,9
176,185,8
177,53,5
178,268,10
179,147,7
180,185,8
181,185,8
182,185,8
183,234,9
184,234,9
185,185,8
186,185,8
187,234,9
188,185,8
189,234,9
190,234,9
191,234,9
192,234,9
193,234,9
194,234,9
195,234,9
196,185,8
197,185,8
198,185,8
199,185,8
200,234,9
201,309,11
202,234,9
203,234,9
204,268,10
205,185,8
206,185,8
207,309,11
208,185,8
209,234,9
210,234,9
211,234,9
212,234,9
213,234,9
214,234,9
215,234,9
216,185,8
217,268,10
218,185,8
219,234,9
220,234,9
221,234,9
222,309,11
223,185,8
224,185,8
225,234,9
226,234,9
227,234,9
228,234,9
229,185,8
230,234,9
231,234,9
232,234,9
233,234,9
234,234,9
235,234,9
236,234,9
237,234,9
238,234,9
239,234,9
240,185,8
241,234,9
242,234,9
243,268,10
244,185,8
245,234,9
246,234,9
247,309,11
248,309,11
249,234,9
250,234,9
251,268,10
252,234,9
253,268,10
254,234,9
255,234,9
256,234,9
257,234,9
258,268,10
259,234,9
260,234,9
261,268,10
262,185,8
263,185,8
264,234,9
265,268,10
266,185,8
267,234,9
268,268,10
269,268,10
270,234,9
271,309,11
272,315,12
273,315,12
274,268,10
275,315,12
276,315,12
277,315,12
278,234,9
279,268,10
280,315,12
281,315,12
282,309,11
283,268,10
284,34,3
285,268,10
286,185,8
287,2,2
288,2,2
289,268,10
290,234,9
291,268,10
292,309,11
293,185,8
294,268,10
295,34,3
296,315,12
297,315,12
298,315,12
299,315,12
300,309,11
301,2,2
302,1,1
303,2,2
304,315,12
305,315,12
306,53,5
307,2,2
308,34,3
309,309,11
310,309,11
311,309,11
312,309,11
313,309,11
314,315,12
315,315,12
316,1,1
317,309,11
318,309,11
319,315,12
320,315,12
321,309,11
322,309,11
323,309,11
324,309,11
325,309,11
326,309,11
327,315,12
328,2,2
329,309,11
330,309,11
331,315,12
332,309,11
333,309,11
334,315,12
335,309,11
336,315,12
337,315,12
338,315,12
339,2,2
340,315,12
341,315,12
342,315,12
343,1,1
344,2,2
345,309,11
346,315,12
347,315,12
348,315,12
349,315,12
350,53,5
351,1,1
352,1,1
353,2,2
354,1,1
355,2,2
356,2,2
357,34,3
358,315,12
359,309,11
360,1,1
361,2,2
362,34,3
363,1,1
364,2,2
365,2,2
