Zone,1,2,3,4,5,6,7,8,9,10,11,Total
AnnualSum,2.072151576477154e7,73996.63319496,0.0,2.9065817382431757e6,389359.09869696,564945.0204855746,4.354820234566463e6,4.742464334997715e6,1.3240924619866265e6,3.02527439157569e7,2.6817170399120626e8,3.335022231939062e8
t1,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3199.6741639180104,33350.66818479513,40060.386088120096
t2,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,26020.741814243982,32631.60025535515
t3,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,25408.253043409655,32019.111484520825
t4,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,25503.893501743685,32114.751942854855
t5,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,27816.76684544317,34427.625286554336
t6,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3338.2651684860652,34197.19565410151,41045.50456199452
t7,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,35479.272264057654,42475.33633477674
t8,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,35479.272264057654,42475.33633477674
t9,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3177.8558276258013,35459.16500702049,42147.06457405324
t10,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,23511.38189398283,30122.240335094
t11,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,18472.137635500854,25082.996076612024
t12,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,18472.137635500854,25082.996076612024
t13,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,18472.137635500854,25082.996076612024
t14,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,18472.137635500854,25082.996076612024
t15,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3100.814701704219,18472.137635500854,25082.996076612024
t16,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3177.8558276258013,18472.137635500854,25160.037202533604
t17,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,24139.89835880584,31135.962429524923
t18,1996.815828732183,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271995,3486.0203313121324,35479.272264057654,42475.33633477674
t19,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.020331312132,37351.084695067824,44631.576919860505
t20,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,38824.72486816777,46105.21709296045
t21,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470024,413.96244581647113,541.3772071915199,151.1521075327199,3486.0203313121324,38970.35007379533,46293.29364738325
t22,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,530.6623728858633,541.37720719152,151.15210753271992,3486.0203313121324,37494.11209013284,44933.755590790155
t23,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470024,578.7926936948728,541.37720719152,151.15210753271992,3486.0203313121324,37536.89588244599,45024.66970391232
t24,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,498.62885829706283,541.37720719152,151.15210753271992,3486.0203313121324,35479.272264057654,42886.882250126175
t25,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,36036.22765976284,43316.71988455552
t26,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,35479.272264057654,42759.764488850335
t27,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,27985.304844418155,35265.797069210836
t28,2281.243982805783,8.447104246,0.0,331.80156829260005,44.447385696000005,64.49144069470027,371.5110970212269,541.37720719152,151.15210753271992,3486.0203313121324,26517.619482762042,33798.11170755472
