Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
9000,1,1.0,1.0,9000,12,24,864.0,1,10788.560704298363,975.3861359621209,738.427071891911,1463.0579265281542,166.87367317631123,904.1293233217028,1609.8551660551584,6148.928366663876,1912.8500257537198,13563.021171914552,54183.61441746662
,2,0.067,0.075,603,,,600.0,2,9976.752126951855,911.2159954382971,690.0541754711842,1367.2977248593074,156.01207314708387,843.9198378166549,1505.1651982012647,5743.4069355504525,1788.35668730074,13080.1728978854,52758.520158529514
,,,,,,,480.0,3,9489.864500879072,867.7777464683242,657.4765105347764,1302.1412989815353,149.10014585575738,804.4382079772793,1433.0673901509417,5472.072644659476,1703.3850435947381,12843.174050551337,52270.24857015133
,,,,,,,648.0,4,9266.666522192561,843.0969231899304,638.7196731471477,1264.6269931731213,144.1630549333813,781.7362708196382,1392.5741006980206,5314.205420868362,1655.959009898365,12939.547025815811,52686.82948880732
,,,,,,,912.0,5,9216.298836736756,832.2373609474371,629.8348554372183,1247.8442774167254,142.18821856443085,770.8788226138099,1374.796558986982,5241.1918298649725,1635.2101201562016,13293.570200256736,54052.82738486532
,,,,,,,624.0,6,9422.707586937997,839.1479914653873,634.7708652760679,1258.7036817296873,144.1630549333813,776.8010670897163,1386.6482534610077,5283.618646258834,1650.0307556863183,14017.350912447073,56632.72270203018
,,,,,,,696.0000000000001,7,9968.851313547022,868.7649793994599,657.4765105347764,1302.1412989815353,149.10014585575738,804.4382079772793,1436.0303137694482,5460.232602875142,1710.3013401754592,15050.901902273217,60250.19514449868
,,,,,,,1296.0,8,10704.61456187202,924.0500235430618,698.9389931811137,1385.067659189609,157.9869095160343,854.7772860224833,1527.8809459431475,5806.553825066898,1820.9620854669968,15730.429717658437,63197.26294578126
,,,,,,,504.0,9,11319.890405773329,973.4116700998493,737.4398699241411,1460.0962708064374,166.87367317631123,901.1682010837496,1609.8551660551584,6124.261612946514,1916.8021952284175,16230.979150409634,64914.93264061164
,,,,,,,792.0,10,12082.318899339634,1013.888220276415,768.0431309250091,1521.303822388587,173.78560046763772,939.6627901771409,1676.0271268684687,6390.662553094018,1992.8814576163497,16737.428969401513,66604.50734325359
,,,,,,,792.0,11,12928.693535332284,1072.1349632134243,811.4800175068862,1608.179056892283,183.65978231238986,992.9629904602981,1770.8406826606745,6750.797157367496,2107.494372382585,17200.60928929506,68453.93286351935
,,,,,,,552.0,12,13495.576897128994,1120.5093768390761,848.0064903143738,1680.2460127873944,191.55912778819157,1038.36686477558,1850.839620360348,7056.664903462779,2201.358397406657,17389.421648996882,69327.78399986283
