Zone,1,2,3,4,5,6,7,8,9,10,11
t1,23.973347529348157,23.17425826523223,23.29973805529766,23.52214198549141,23.20672215255956,23.555097215592678,23.8204,23.97813516604796,24.014129845875797,20.542279799584804,24.244400000000002
t2,23.973347529348157,23.17425826523223,23.29973805529766,23.52214198549141,23.20672215255956,23.555097215592678,23.8204,23.97813516604796,24.014129845875797,20.542279799584804,24.244400000000002
t3,23.512955510168993,23.011204576645127,23.135801493033256,23.356640592941638,23.043440048611156,23.389363950602174,23.65280006911258,23.809425413204224,23.845166835074536,20.542279799584804,24.244400000000002
t4,23.512955510168993,22.85412865585412,22.97787506590286,23.197206704311377,22.88614408647358,23.229706690287102,23.491344577386073,23.64690078708884,23.682398235779395,20.542279799584804,24.244400000000002
t5,23.512955510168993,22.854128655854115,22.977875065902857,23.197206704311377,22.88614408647358,23.229706690287102,23.491344577386073,23.64690078708884,23.682398235779395,20.542279799584804,24.244400000000002
t6,23.512955510168993,22.729212218048012,22.852282253120165,23.070415065383056,22.76105265824854,23.102737412449947,23.362945235277216,23.517651203525265,23.5529546297305,20.542279799584804,24.244400000000002
t7,23.512955510168993,22.979045093660215,23.103467878685546,23.323998343239694,23.01123551469861,23.356675968124254,23.61974391949492,23.776150370652406,23.811841841828283,23.4643617454617,24.244400000000002
t8,23.512955510168993,22.729212218048012,22.852282253120165,23.070415065383056,22.76105265824854,23.102737412449947,23.362945235277216,23.51765120352527,23.5529546297305,20.542279799584804,24.244400000000002
t9,21.395634824104285,20.682466916870784,20.794454604979776,20.992944751925073,20.711440153811353,21.022356500448222,21.259132840758983,21.399907674459204,21.432032058601393,20.542279799584804,24.244400000000002
t10,21.395634824104285,19.943138003151642,20.051122506527776,20.242517295587827,19.971075543921142,20.448004430303577,20.678311801200003,20.81524052387274,20.84648723730595,20.542279799584804,24.244400000000002
t11,21.395634824104285,19.943138003151645,20.05112250652778,20.24251729558783,19.971075543921145,20.44800443030358,20.678311801200003,20.815240523872742,20.84648723730595,20.542279799584804,20.45620971922584
t12,21.395634824104285,19.742645221624393,19.84954413288156,20.039014787754585,19.770301900111487,20.44800443030358,20.678311801200003,20.815240523872745,20.846487237305954,20.542279799584808,19.247470748800005
t13,21.395634824104285,19.742645221624393,19.84954413288156,20.039014787754585,19.770301900111484,20.44800443030358,20.678311801200003,20.81524052387274,20.846487237305954,20.542279799584808,19.247470748800005
t14,21.395634824104285,19.742645221624393,19.84954413288156,20.242517295587824,19.97107554392114,20.448004430303577,20.678311801199996,20.81524052387274,20.846487237305944,20.542279799584804,19.247470748800005
t15,23.512955510168993,19.742645221624393,19.84954413288156,20.242517295587827,19.971075543921142,20.448004430303577,22.7246459104479,22.87512515496376,22.90946405581125,20.542279799584804,19.247470748800005
t16,31.35244669043116,22.97351587776644,23.09790872419173,23.31838612472408,23.00569855314844,23.555097215592678,23.8204,23.97813516604796,25.379700407853843,25.009340953845356,24.204691522851366
t17,31.35244669043116,23.17425826523223,23.29973805529766,23.52214198549141,23.20672215255956,23.76092145587028,23.8204,23.97813516604796,30.54774420874191,30.10196881799539,24.244400000000002
t18,31.50110712529901,26.74935631128086,26.894193896842797,27.15090813147732,26.78682840982354,27.26560548926014,27.49517847711142,27.67724748277906,30.692589074699036,30.2447,25.664800000000003
t19,34.2992,26.74935631128086,26.89419389684279,27.150908131477316,26.786828409823535,27.26560548926014,27.572699999999998,31.30118596631916,31.1513,30.2447,25.664800000000003
t20,34.2992,26.74935631128086,26.894193896842797,27.15090813147732,26.78682840982354,27.26560548926014,27.572699999999998,31.30118596631916,31.1513,30.2447,25.664800000000003
t21,34.2992,26.74935631128086,26.894193896842797,27.15090813147732,26.78682840982354,27.26560548926014,27.572699999999998,31.30118596631916,31.1513,30.2447,25.664800000000003
t22,32.433804750199336,26.74935631128086,26.97002096846844,27.22745899831064,26.86235276888209,27.26560548926014,27.572699999999998,30.54561737920966,30.692589074699036,30.2447,25.664800000000003
t23,31.50110712529901,26.74935631128086,26.894193896842797,27.150908131477316,26.786828409823535,27.26560548926014,27.49517847711142,27.67724748277906,30.692589074699036,30.2447,25.664800000000003
