Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.01624439238061e7
new_england_naturalgas,3.182284040929058e8
new_england_uranium,6.6470022844393134e7
middle_atlantic_naturalgas,8.407275431196445e8
middle_atlantic_uranium,6.719794948800005e8
middle_atlantic_coal,0.0
east_north_central_coal,2.2362060152251754e9
east_north_central_naturalgas,1.0284452585167266e9
east_north_central_uranium,1.3188702456214465e8
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
