Fuel,AnnualSum
No_fuel,0.0
new_england_coal,3.52783263210664e7
new_england_naturalgas,3.757561112316436e8
new_england_uranium,8.325949181463109e7
middle_atlantic_naturalgas,1.1114757189240582e9
middle_atlantic_uranium,4.551630866573527e8
middle_atlantic_coal,0.0
east_north_central_coal,1.9389582909084074e9
east_north_central_naturalgas,1.3787501270033817e9
east_north_central_uranium,2.4644025240115413e8
new_england_naturalgas_ccs100,1.2637843610718843e-7
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
