Fuel,AnnualSum
No_fuel,0.0
new_england_coal,0.0
new_england_naturalgas,0.0
new_england_uranium,1.6474686686333525e8
middle_atlantic_naturalgas,0.0
middle_atlantic_uranium,6.519081800182152e8
middle_atlantic_coal,0.0
east_north_central_coal,0.0
east_north_central_naturalgas,0.0
east_north_central_uranium,1.2472752866240234e9
new_england_naturalgas_ccs100,2.847049347293023e8
middle_atlantic_naturalgas_ccs100,6.942980564643344e8
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,1.6046857975769298e9
None,0.0
