time,node_0_coord_0,node_0_coord_1,node_1_coord_0,node_1_coord_1,node_2_coord_0,node_2_coord_1,node_3_coord_0,node_3_coord_1,node_4_coord_0,node_4_coord_1,node_5_coord_0,node_5_coord_1
0.0,0.6894137976242853,-0.7243677350940344,0.9868491083539974,0.1616441689047899,-0.8288355951220819,0.5594922307401815,0.809114507928309,0.5876510129829868,-0.48602461027205623,-0.873945123111226,-0.9978090697238524,0.06615935592809416
0.02003338898163606,0.692495567063271,-0.7214221299644862,0.9850512176642992,0.17226171537400597,-0.8256733975997915,0.5641484205347783,0.8258567462647582,0.5638799824175488,-0.46362836169552374,-0.8860297626432814,-0.9974102581468245,0.07192202037970406
0.04006677796327212,0.6952875013549537,-0.7187317235668763,0.9831919745590596,0.182574755010873,-0.8221703851254137,0.5692414757908417,0.841417830203807,0.5403850805200269,-0.43894169002828004,-0.8985155490204221,-0.9968301721258992,0.07955883360815227
0.060100166944908176,0.6977881858103153,-0.7163041586809882,0.9812878026588779,0.19254674328311824,-0.8183750964105648,0.5746844364837703,0.8555893737112283,0.5176551203513308,-0.412286087266356,-0.911054434120499,-0.9960139097685464,0.08919804759302714
0.08013355592654424,0.6999973124929164,-0.7141454771281673,0.9793552030715332,0.20214694211593076,-0.8143528512453563,0.580370083312325,0.8682237701300668,0.49617283773985116,-0.3840815421837044,-0.9232991761186632,-0.9948977896767109,0.10088799887719924
0.1001669449081803,0.7019154541291505,-0.71226027212995,0.9774098718793447,0.21135264921827004,-0.8101822271635573,0.5861780946687247,0.8792475440422187,0.4763651498770831,-0.35481956694166494,-0.9349347968789934,-0.9934141905972139,0.11457855958973584
0.12020033388981635,0.7035437356190065,-0.7106519626874842,0.9754658131002946,0.2201509651054966,-0.8059499316914419,0.5919837053532743,0.8886625050715132,0.4585618296846412,-0.32503157552995,-0.94570316379965,-0.9914993546488164,0.1301116074727014
0.14023372287145242,0.7048834206321307,-0.7093231726927156,0.9735345524008797,0.22853987667471914,-0.8017449128719014,0.597666373800994,0.8965359078983304,0.442971066219971,-0.29525762201387346,-0.9554176757332424,-0.9891031580610297,0.14722412712149405
0.16026711185308848,0.705935439435018,-0.7082761857854856,0.9716245359646238,0.23652856288854307,-0.7976526532678924,0.6031171066681659,0.9029837611305548,0.42967467605633436,-0.2660179466444223,-0.9639680753950381,-0.986198810542615,0.16556541518937637
0.18030050083472454,0.7066998872182343,-0.7075134411492666,0.9697407604362845,0.24413696467565815,-0.7937504206201879,0.6082435938285874,0.9081521648592321,0.41864023417251645,-0.23778774105321568,-0.9713171416756918,-0.9827899177198367,0.18472676545127012
0.2003338898163606,0.7071755201589508,-0.7070380355326633,0.9678846370748835,0.25139476784927445,-0.7901039258271981,0.6129729081485809,0.91220046216985,0.4097442087546971,-0.2109753737189401,-0.9774913770002359,-0.9789127530319393,0.2042787859045355
0.22036727879799667,0.7073592706204886,-0.706854201564199,0.9660540576120752,0.2583400041746086,-0.7867655046557966,0.6172520071934824,0.9152881825313448,0.40279963091056203,-0.18590541961859508,-0.9825676437078316,-0.974632933139602,0.22380939640079592
0.2404006677796327,0.7072457951527107,-0.7069677398842791,0.9642436076766614,0.26501748062858715,-0.7837736849444796,0.6210465445126944,0.9175661878893343,0.3975830615349856,-0.16280861638643807,-0.9866576678368089,-0.9700374093193608,0.24295560165737934
0.2604340567612688,0.7068270615152283,-0.7073863902475376,0.9624448668274698,0.2714772150702184,-0.781153854777187,0.6243385738781597,0.9191715013203277,0.39385752633271714,-0.14182030768492956,-0.9898924183013424,-0.965223974112884,0.26142432914082886
0.28046744574290483,0.706091975078137,-0.708120132983245,0.9606467388867008,0.27777300634180446,-0.7789196971692095,0.6271236760342588,0.9202249466877763,0.39138989138608554,-0.12298724806383579,-0.9924082509189125,-0.9602908328262345,0.279000926452148
0.3005008347245409,0.7050260415865158,-0.709181415921971,0.9588357673379837,0.28396121435711286,-0.7770750633513024,0.6294079325805125,0.9208307099407306,0.38996256647896316,-0.10628085007329771,-0.9943361505270942,-0.9553282129703888,0.29554696028976324
0.32053422370617696,0.7036110621175105,-0.710585303293316,0.9569964050591327,0.2900997771238383,-0.7756160113775015,0.6312050400438938,0.9210770884220554,0.38938027282510207,-0.09161395616718625,-0.9957945985789997,-0.9504129576245129,0.31099069134677343
