Constraint,CapRes_1,CapRes_2,CapRes_3
t149,107.64084533748195,106.4042703919382,97.15014623065953
t150,107.64084533748195,106.51698619097078,97.15014623065953
t151,109.48343676549734,109.40169445098424,98.18409511655426
t152,109.54593573634173,109.54593573634173,109.54380618855423
t153,109.54593573634173,109.54593573634173,109.54380618855423
t154,109.54593573634173,109.54593573634173,109.54380618855431
t155,112.82537683628532,109.54593573634173,109.54380618855423
t156,435.2293888250373,431.9499477250937,435.1614490013925
t157,443.09010842133114,431.9499477250937,461.7411201246315
t158,443.09010842133125,431.9499477250937,603.0
t159,579.6810292625772,568.5408685663397,603.0
t160,590.820762738993,568.5408685663397,603.0
t161,590.820762738993,578.423276395498,603.0
t162,603.0020230703981,578.423276395498,603.0
t163,612.0989023889589,603.0020230703981,602.9999999999999
t164,599.6305681762145,610.3444424083785,603.0
t165,1784.9628272063992,1795.751195778264,1793.0309602716584
t166,599.5560738365137,610.3444424083785,603.0000000000001
t167,599.5560738365137,610.3444424083785,602.9999999999999
t168,599.2861118452194,610.3290859489077,602.9999999999999
t169,50.32766962658045,36.554338284189434,0.0
t170,15.969225301279913,2.1958939588888926,0.0
t171,15.751082378816353,2.0117962081133767,0.0
t172,9.314802699489123,0.0021295477875056383,0.0
t173,8.480739992221293,0.0021295477875056383,0.0
t174,12.316066800082366,0.0021295477875056383,0.0
t175,11.768829887215828,11.766700339428324,0.0
t176,0.002528837997663026,0.0021295477875057007,0.0
t177,4.6872029369299115,0.0021295477875057007,0.0
t178,10.04265704585488,0.0021295477875057007,0.0
t179,61.68951024636796,0.0021295477875057007,0.0
t180,61.68951024636796,0.0021295477875057007,0.0
t181,61.68951024636796,0.0021295477875057007,0.0
t182,69.56371917012314,0.0021295477875056383,0.0
t183,69.56371917012314,0.0021295477875057007,0.0
t184,69.56371917012314,0.0021295477875057007,0.0
t185,69.56371917012314,0.0021295477875056383,-0.0
t186,154.29837217809998,0.0021295477875057007,-0.0
t187,154.39107170895016,135.71536895173708,90.5592830109412
t188,154.29837217809998,140.0800276469972,132.04741599409937
t189,154.29837217809998,140.57411166871935,139.48421823520988
t190,151.9190700439977,137.933976187766,134.50363868898867
t191,149.0034531307827,135.71536895173708,134.18030608928845
t192,135.88039158616874,122.67844016559569,114.11303790117961
t193,0.0,0.0,0.0
t194,0.0,0.0,0.0
t195,0.0,0.0,0.0
t196,0.0,0.0,0.0
t197,0.0,0.0,0.0
t198,0.0,0.0,0.0
t199,0.0,-0.0,0.0
t200,0.0,0.0,0.0
t201,0.0,0.0,0.0
t202,0.0,0.0,0.0
t203,0.0,0.0,0.0
t204,0.0,0.0,0.0
t205,0.0,0.0,0.0
t206,0.0,0.0,0.0
t207,0.0,0.0,0.0
t208,0.0,0.0,0.0
t209,0.0,0.0,0.0
t210,0.0,-0.0,0.0
t211,0.0,0.0,0.0
t212,0.0,0.0,0.0
t213,0.0,-0.0,0.0
t214,0.0,0.0,0.0
