Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t101,1830.0,0.0,242.781736454387,0.0,0.0,-0.0,1196.414372637389,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.8392683775914753,1.3982193278629071,2.758902566387212,0.3190567593781131,1.689124020237069,3.124879437438578,11.195138645237908,3.8099130678680555,31.661891420328317,135.7013547089429,23.56878133944494,0.5708256345419995,0.43195027043362716,0.8552806906812171,0.09864939657353347,0.5229375779529056,0.9673387430996973,3.4661375359186173,1.1809194754870562,11.128626775868392,37.990073032382774,8.27343627284756,3551.7488141682807
t102,841.790405188271,0.0,0.0,0.0,0.0,-0.0,225.8504767449399,0.0,1506.7681457780745,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2.9697361776879023,2.257605563650497,4.454604266531852,0.5151583165376973,2.7273087346113387,5.045521159030976,18.07599622439626,6.151596368067796,52.12934753903657,236.12157093879577,37.122915092463195,2.2844906268752427,1.7287001220146552,3.422902902348308,0.39480291034924503,2.092838728647454,3.871368344201334,13.871764393727354,4.726135810297273,45.231038532613546,131.6484482656313,32.30590617077972,3183.558784899581
t103,1702.1281424172591,240.0,1166.7,0.0,0.0,-0.0,-1.1921384266029895e-13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,165.15354211007443,0.0,11.379430431739664,8.650689460863314,17.069145647609492,1.9739828299956557,10.450497335271116,19.333420070251567,69.2635740054358,23.571677322889297,198.7215392219992,837.0304351837964,138.81258138103988,6.313191461927037,4.777264008941433,9.459194589766515,1.0910381217759813,5.7835613057251045,10.69852915527904,38.334630705895876,13.06067965193966,124.60577516779021,359.4929814757219,87.19060951063423,5271.04611257362
t104,1286.7769325052595,240.0,1166.7,0.0,7.961652294227406,-0.0,716.1700184247984,-0.0,3531.1368235472864,-0.0,-0.0,-0.0,-0.0,-0.0,184.44816271593427,0.0,16.506506622093173,12.548313707611646,24.759759933139755,2.8633735977100403,15.159036693759033,28.044217883454216,100.47072653141404,34.192049431478715,285.79612419164295,1214.6318272279618,87.33220350531636,12.378436172272744,9.366903882038605,18.546885070200606,2.139226385476666,11.339976761847181,20.97688009059643,75.16369212660244,25.608409061094456,242.748801344688,690.2312097650803,186.0893822264486,10250.087531699433
t105,739.337476935115,240.0,1166.7,1096.7210480097572,3693.0,-0.0,1974.4824256776415,-0.0,3609.5105565230588,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1440.0,13.004797294385732,9.886299983997317,19.507195941578594,2.2559342245363,11.94318118872159,22.09488519913494,18.86875554537528,12.829337619168712,218.6351780250818,967.9676908112058,182.02377515863563,12.894264801286813,10.603495130379352,19.31976252944485,2.421640794742956,12.837047319705377,23.746186433887235,85.08658287548306,28.98915630988412,266.92071731030586,785.176510164807,221.73694759438817,16908.50084940171
t106,444.10451486303594,240.0,1166.7,1490.0,3693.0,-0.0,2104.218582776006,-0.0,3895.781417223994,-0.0,-0.0,-0.0,-0.0,0.0,446.6266663037577,1440.0,7.71811414135048,5.867341872761333,11.577171212025718,1.1440657754636998,7.088064007362684,13.112918413620964,46.9781131154649,15.987522149940276,127.6825111266575,584.5639993591441,108.83143995500814,13.15952577425527,9.95796329561934,19.717208920150927,2.274213346896615,12.055538712656674,22.300538644291645,79.9065835185064,25.625414153797706,246.65226214734494,424.76888711487527,209.58066360998976,16916.98124153398
t107,651.9625550214237,240.0,1166.7,588.4274964649574,3693.0,-0.0,2104.218582776006,-0.0,3394.5057686141054,-0.0,-0.0,-0.0,-0.0,-0.0,65.1192722801783,1440.0,8.781905903164564,6.676040712099591,13.172858854746842,1.5233918403448732,8.065015625355212,14.92027890690714,53.453131339159825,18.191090799412308,144.1504274337182,617.300041362803,123.87897295971943,14.763013067078328,11.171340424920011,22.119749444464674,2.551326083740047,13.524505259437532,25.01785771434415,89.64319511704105,30.54160253642212,275.13575933622496,806.9889068613587,235.11741073975898,15880.621497478893
t108,1572.2222106219153,240.0,1166.7,0.0,3693.0,-0.0,0.0,0.0,3745.881247404979,-0.0,-0.0,-0.0,-0.0,-0.0,1258.2292066295238,904.2126295220205,7.412564111560173,5.635061492971764,11.118846167340257,0.9220640055804477,6.807456837147097,12.593795148722128,-0.0,15.354597088231786,119.77959021975963,528.6203208410049,105.80477039096007,18.307127720131533,13.85321241909282,27.429974922948748,3.1638156965999125,16.771294857704394,31.023823821028266,111.16358258247651,37.87363838745332,335.3296742930707,982.4445016674974,294.8740243806142,15266.529031230333
t109,1830.0,240.0,1166.7,1359.0732260271566,3693.0,-0.0,2104.218582776006,0.0,2300.926430567557,-0.0,0.0,-0.0,0.0,-0.0,0.0,1440.0,5.502666299959914,4.183149381091975,8.25399944993987,0.9545441540746791,5.053469050983594,9.348917744319651,0.0,11.398380192774107,88.2508589744456,399.004153099135,79.23010767813119,20.75995226461003,15.70929273714618,31.105096262242878,3.587709871232942,19.01834553100181,33.57471047348048,126.05749537856326,42.9480220507788,306.6774367161224,1122.6221283376512,0.0,16467.158675018407
t110,1257.5508231807669,240.0,1166.7,1490.0,3693.0,0.0,2104.218582776006,0.0,2412.6334388488976,-0.0,0.0,-0.0,-0.0,-0.0,0.0,239.5840554592721,6.062159794048048,4.608478618944689,9.09323969107207,1.0515991479471103,5.567289606778819,10.299485772540814,36.898758338261835,12.55733100195667,96.74568036207327,423.1498218079815,87.16386043493493,21.06367523969402,15.939123377687928,31.560171122561677,3.640198908873296,0.0,35.695154349145916,87.54094125930249,43.57636169554149,262.574778922771,1151.826273341392,341.59361375016454,15291.894896808617
