Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,Total
t42,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-449.16710991829905,0.0,0.0,0.0,0.0,-449.16710991829905
t43,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-794.2043587725808,0.0,0.0,0.0,0.0,0.0,0.0,-794.2043587725808
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-726.0878879712346,-1674.8308891577735,-196.2952468996059,0.0,0.0,0.0,0.0,-2597.214024028614
t49,0.0,0.0,0.0,-735.0613621827088,-3693.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-4428.061362182709
t50,-1100.4880997649793,-240.0,-133.39823550987086,-1490.0,-3693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-6656.88633527485
t51,-1830.0,-240.0,-1166.7,-1490.0,-3693.0,0.0,0.0,0.0,0.0,0.0,-340.90473155385166,0.0,0.0,0.0,-0.0,0.0,-8760.604731553853
t52,-1830.0,-240.0,-1166.7,0.0,0.0,0.0,0.0,0.0,0.0,-72.22933989713367,-825.6167649527207,0.0,0.0,0.0,-0.0,0.0,-4134.546104849855
t53,-1830.0,-240.0,-1166.7,0.0,-3693.0,0.0,0.0,0.0,0.0,-760.4290529246465,-147.71812515854202,0.0,0.0,0.0,-0.0,0.0,-7837.847178083189
t54,-1830.0,-240.0,-1166.7,-1490.0,0.0,0.0,0.0,0.0,0.0,-790.7165086470436,0.0,0.0,-0.0,0.0,-0.0,0.0,-5517.416508647044
t55,-792.4000673904268,-217.12484646823452,-649.7323550849717,0.0,-3693.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-5352.257268943634
t56,-519.3557967189413,-0.0,0.0,0.0,-3693.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4212.355796718941
t57,-817.5366935460823,0.0,0.0,-843.7411126664338,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1661.2778062125162
t58,-1241.243157793826,0.0,0.0,0.0,-3693.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1440.0,-6374.243157793826
t59,-1223.2349523372777,0.0,127.7948205651594,-1490.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2585.4401317721185
t60,-605.1403335984947,0.0,197.89039757416097,0.0,-3693.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4100.249936024334
t61,-220.1281018458528,0.0,34.55101856509441,-1490.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1675.5770832807584
t62,429.8375807346478,125.8742928698455,427.2797001527762,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.9915737572694
t63,837.2898342884046,216.9069884880858,428.02407652878856,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1440.0,42.22089930527886
t64,711.0683531420057,240.0,927.2265278383783,-149.96485982676916,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.9800952895787,1525.3499258640359
t65,1157.7696038412953,240.0,777.7416047757885,722.8054110360436,1779.5533895771205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4677.870009230248
t66,278.5034289439886,240.0,1166.7,0.0,3693.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,5378.203428943989
t67,1830.0,0.0,0.0,1139.2839888308276,3693.0,-0.0,0.0,0.0,0.0,-0.0,893.8721432901501,0.0,0.0,0.0,-0.0,677.9855806506021,8234.14171277158
t68,1830.0,0.0,0.0,1378.375990023998,3693.0,-0.0,-0.0,-0.0,-0.0,470.98330518158264,140.87371480314778,0.0,0.0,0.0,-0.0,1440.0000000000002,8953.233010008727
t69,1830.0,0.0,0.0,1490.0,3693.0,-0.0,-0.0,-0.0,0.0,467.27266468173696,0.0,0.0,0.0,0.0,-0.0,491.4487720024972,7971.7214366842345
t70,0.0,0.0,0.0,1490.0,3693.0,0.0,0.0,0.0,0.0,435.76854673989317,77.62655768405511,0.0,0.0,0.0,0.0,0.0,5696.395104423948
t71,1830.0,0.0,0.0,663.2062453533401,3693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,6186.20624535334
t72,-473.93758820565444,0.0,0.0,0.0,-2374.6104112469557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2848.54799945261
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
