CO2_Cap,CO2_Price
CO2_Cap_1,-0.0
CO2_Cap_2,118458.56740907382
CO2_Cap_3,114432.58219448972
CO2_Cap_4,114432.58219448972
CO2_Cap_5,114432.58219448972
CO2_Cap_6,114432.58219448972
CO2_Cap_7,196937.1133098916
CO2_Cap_8,100009.42440479764
CO2_Cap_9,100009.42440479764
CO2_Cap_10,-0.0
CO2_Cap_11,-0.0
