Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.294590192720002e7
new_england_naturalgas,3.359237121798884e8
new_england_uranium,6.960154892884816e7
middle_atlantic_naturalgas,1.0733911640111015e9
middle_atlantic_uranium,6.551707164100503e8
middle_atlantic_coal,0.0
east_north_central_coal,2.0715873254584327e9
east_north_central_naturalgas,9.060359594136178e8
east_north_central_uranium,0.0
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
